DATE,LCEAMN01USM659S
1960-01-01,4.39024390243904
1960-02-01,4.39024390243904
1960-03-01,3.38164251207731
1960-04-01,2.88461538461539
1960-05-01,2.88461538461539
1960-06-01,2.39234449760768
1960-07-01,2.39234449760768
1960-08-01,4.41176470588235
1960-09-01,3.86473429951691
1960-10-01,4.36893203883495
1960-11-01,3.3653846153846
1960-12-01,2.35849056603773
1961-01-01,1.40186915887849
1961-02-01,1.40186915887849
1961-03-01,1.40186915887849
1961-04-01,1.86915887850467
1961-05-01,2.803738317757
1961-06-01,2.803738317757
1961-07-01,2.803738317757
1961-08-01,2.34741784037559
1961-09-01,2.32558139534884
1961-10-01,3.25581395348839
1961-11-01,3.72093023255814
1961-12-01,4.14746543778802
1962-01-01,4.60829493087559
1962-02-01,4.14746543778802
1962-03-01,4.14746543778802
1962-04-01,4.12844036697248
1962-05-01,3.18181818181818
1962-06-01,3.18181818181818
1962-07-01,3.18181818181818
1962-08-01,3.21100917431192
1962-09-01,3.18181818181818
1962-10-01,2.70270270270268
1962-11-01,3.13901345291479
1962-12-01,2.21238938053098
1963-01-01,1.76211453744493
1963-02-01,2.21238938053098
1963-03-01,2.65486725663717
1963-04-01,2.64317180616739
1963-05-01,2.64317180616739
1963-06-01,3.08370044052862
1963-07-01,3.08370044052862
1963-08-01,2.66666666666667
1963-09-01,3.52422907488987
1963-10-01,3.07017543859651
1963-11-01,3.04347826086958
1963-12-01,3.46320346320346
1964-01-01,3.46320346320346
1964-02-01,3.03030303030302
1964-03-01,2.58620689655172
1964-04-01,3.00429184549356
1964-05-01,3.00429184549356
1964-06-01,2.99145299145301
1964-07-01,2.56410256410257
1964-08-01,3.8961038961039
1964-09-01,3.82978723404254
1964-10-01,1.70212765957446
1964-11-01,2.53164556962026
1964-12-01,2.51046025104603
1965-01-01,2.92887029288702
1965-02-01,3.36134453781513
1965-03-01,4.20168067226892
1965-04-01,2.91666666666667
1965-05-01,3.75
1965-06-01,3.31950207468879
1965-07-01,3.33333333333334
1965-08-01,2.91666666666667
1965-09-01,2.8688524590164
1965-10-01,5.43933054393306
1965-11-01,4.11522633744855
1965-12-01,3.6734693877551
1966-01-01,3.65853658536585
1966-02-01,4.06504065040652
1966-03-01,3.2258064516129
1966-04-01,4.45344129554656
1966-05-01,4.0160642570281
1966-06-01,3.6144578313253
1966-07-01,4.43548387096773
1966-08-01,4.45344129554656
1966-09-01,4.38247011952191
1966-10-01,4.76190476190475
1966-11-01,4.74308300395258
1966-12-01,4.7244094488189
1967-01-01,4.3137254901961
1967-02-01,4.296875
1967-03-01,4.296875
1967-04-01,3.87596899224807
1967-05-01,3.86100386100387
1967-06-01,4.65116279069768
1967-07-01,4.24710424710427
1967-08-01,4.65116279069768
1967-09-01,4.19847328244275
1967-10-01,3.40909090909091
1967-11-01,3.77358490566037
1967-12-01,4.88721804511278
1968-01-01,6.39097744360901
1968-02-01,5.61797752808988
1968-03-01,6.36704119850186
1968-04-01,6.34328358208954
1968-05-01,7.06319702602229
1968-06-01,6.66666666666665
1968-07-01,6.66666666666665
1968-08-01,6.29629629629629
1968-09-01,6.95970695970697
1968-10-01,7.6923076923077
1968-11-01,7.63636363636364
1968-12-01,7.168458781362
1969-01-01,6.00706713780918
1969-02-01,6.38297872340426
1969-03-01,5.98591549295774
1969-04-01,6.31578947368421
1969-05-01,5.55555555555558
1969-06-01,5.90277777777779
1969-07-01,6.59722222222223
1969-08-01,7.31707317073172
1969-09-01,6.84931506849315
1969-10-01,6.4625850340136
1969-11-01,6.08108108108108
1969-12-01,6.02006688963211
1970-01-01,5.33333333333334
1970-02-01,5.66666666666668
1970-03-01,5.98006644518274
1970-04-01,5.28052805280528
1970-05-01,5.92105263157895
1970-06-01,6.22950819672132
1970-07-01,5.86319218241042
1970-08-01,5.84415584415583
1970-09-01,5.44871794871794
1970-10-01,4.15335463258786
1970-11-01,3.8216560509554
1970-12-01,4.73186119873816
1971-01-01,6.32911392405063
1971-02-01,6.94006309148265
1971-03-01,6.26959247648903
1971-04-01,6.89655172413793
1971-05-01,6.52173913043477
1971-06-01,6.48148148148147
1971-07-01,6.46153846153847
1971-08-01,6.74846625766873
1971-09-01,5.77507598784195
1971-10-01,7.36196319018406
1971-11-01,7.0552147239264
1971-12-01,6.92771084337348
