DATE,CSCICP03USM665S
1960-01-01,101.49354503668
1960-02-01,101.239120783913
1960-03-01,101.019320191072
1960-04-01,100.898074972601
1960-05-01,100.928685630972
1960-06-01,101.015326816987
1960-07-01,101.033628529369
1960-08-01,100.895226786721
1960-09-01,100.680653773103
1960-10-01,100.502492864513
1960-11-01,100.444704927488
1960-12-01,100.465542511528
1961-01-01,100.513488500719
1961-02-01,100.564569244295
1961-03-01,100.632559282051
1961-04-01,100.752791029531
1961-05-01,100.94905516903
1961-06-01,101.148259330876
1961-07-01,101.243903812105
1961-08-01,101.156617273945
1961-09-01,100.99825211876
1961-10-01,100.918814740796
1961-11-01,101.024474395119
1961-12-01,101.216644288168
1962-01-01,101.353815210601
1962-02-01,101.326878931422
1962-03-01,101.189450562717
1962-04-01,101.010352695025
1962-05-01,100.836591622237
1962-06-01,100.69800306548
1962-07-01,100.633698101854
1962-08-01,100.683336578308
1962-09-01,100.804116931218
1962-10-01,100.952945995976
1962-11-01,101.097466941289
1962-12-01,101.199038490464
1963-01-01,101.200022262144
1963-02-01,101.05401950834
1963-03-01,100.856695628792
1963-04-01,100.732043066608
1963-05-01,100.769965328473
1963-06-01,100.891189688666
1963-07-01,100.991550500005
1963-08-01,101.002970405296
1963-09-01,100.975305098804
1963-10-01,100.987389134441
1963-11-01,101.097166946893
1963-12-01,101.252074529459
1964-01-01,101.37697405125
1964-02-01,101.416958704269
1964-03-01,101.410165611274
1964-04-01,101.409024030071
1964-05-01,101.448281302672
1964-06-01,101.507377293813
1964-07-01,101.552598118802
1964-08-01,101.559391152812
1964-09-01,101.548555206347
1964-10-01,101.552310494951
1964-11-01,101.597997577781
1964-12-01,101.677185072723
1965-01-01,101.781393574009
1965-02-01,101.904319157722
1965-03-01,102.01903588095
1965-04-01,102.086878480629
1965-05-01,102.074533944501
1965-06-01,102.018007193994
1965-07-01,101.95743133033
1965-08-01,101.916060106657
1965-09-01,101.883309501694
1965-10-01,101.836745367994
1965-11-01,101.755450473128
1965-12-01,101.647205057969
1966-01-01,101.51735701279
1966-02-01,101.364642585274
1966-03-01,101.198609706917
1966-04-01,101.025633705741
1966-05-01,100.848251468678
1966-06-01,100.67143872794
1966-07-01,100.505540154275
1966-08-01,100.368629953897
1966-09-01,100.277958298344
1966-10-01,100.274436809567
1966-11-01,100.400885501363
1966-12-01,100.593129552864
1967-01-01,100.778400046149
1967-02-01,100.90793934532
1967-03-01,100.996580032621
1967-04-01,101.062986466794
1967-05-01,101.110794953298
1967-06-01,101.131988167664
1967-07-01,101.101730526749
1967-08-01,100.999818830971
1967-09-01,100.883583762986
1967-10-01,100.830856296503
1967-11-01,100.897257478457
1967-12-01,101.009980608529
1968-01-01,101.068088771995
1968-02-01,100.996490425629
1968-03-01,100.854529949034
1968-04-01,100.721503704289
1968-05-01,100.652538225811
1968-06-01,100.625534178374
1968-07-01,100.610131835582
1968-08-01,100.594715127312
1968-09-01,100.601813982505
1968-10-01,100.67638403767
1968-11-01,100.851570780775
1968-12-01,101.047002496317
1969-01-01,101.145589952552
1969-02-01,101.050081115123
1969-03-01,100.836460121154
1969-04-01,100.589716258511
1969-05-01,100.357725100436
1969-06-01,100.138252510021
1969-07-01,99.9132333686321
1969-08-01,99.6705317366754
1969-09-01,99.4312475653384
1969-10-01,99.2326784703747
1969-11-01,99.1078640441077
1969-12-01,99.0244150922236
1970-01-01,98.9473006315167
1970-02-01,98.8602694120879
1970-03-01,98.7809369495309
1970-04-01,98.7431454580753
1970-05-01,98.7716250268595
1970-06-01,98.8151138251011
1970-07-01,98.8031662476758
1970-08-01,98.6879518324016
1970-09-01,98.5414905518273
1970-10-01,98.4692780849379
1970-11-01,98.5551579529986
1970-12-01,98.7319448428752
1971-01-01,98.916517454464
1971-02-01,99.054004326305
1971-03-01,99.1541839394831
1971-04-01,99.2354088462307
1971-05-01,99.3058370571938
1971-06-01,99.3636181351272
1971-07-01,99.4001225553746
1971-08-01,99.4158182005402
1971-09-01,99.4574235116835
1971-10-01,99.5983351292348
1971-11-01,99.8931458667696
1971-12-01,100.232856379538
1972-01-01,100.468749572069
1972-02-01,100.491365230541
1972-03-01,100.41329197539
1972-04-01,100.383729601948
1972-05-01,100.503740334713
1972-06-01,100.692989199895
1972-07-01,100.825596436909
1972-08-01,100.796751777443
1972-09-01,100.645970352693
1972-10-01,100.411485209026
1972-11-01,100.106576588917
1972-12-01,99.7796049308104
1973-01-01,99.4777686306163
1973-02-01,99.2329248400366
1973-03-01,99.022274908146
1973-04-01,98.8232491713244
1973-05-01,98.634197883336
1973-06-01,98.483457951504
1973-07-01,98.4245685089688
1973-08-01,98.4931751319536
1973-09-01,98.5720835665695
1973-10-01,98.4971052496385
1973-11-01,98.152601017886
1973-12-01,97.7209115686793
1974-01-01,97.4569846886742
1974-02-01,97.5501876999162
1974-03-01,97.8183573367397
1974-04-01,98.0138983077431
1974-05-01,97.954915233345
1974-06-01,97.7289732479988
1974-07-01,97.453574072575
1974-08-01,97.2035909988573
1974-09-01,96.9881610629506
1974-10-01,96.8107091183518
1974-11-01,96.6944187700459
1974-12-01,96.6697253184567
1975-01-01,96.8169485363109
1975-02-01,97.2173285476217
1975-03-01,97.732145038392
1975-04-01,98.1915978203319
1975-05-01,98.4692509139527
1975-06-01,98.611840341655
1975-07-01,98.6740457493937
1975-08-01,98.6883256930988
1975-09-01,98.7151369462231
1975-10-01,98.8247778421176
1975-11-01,99.0667003058251
1975-12-01,99.3559922442666
1976-01-01,99.5803593701495
1976-02-01,99.6597375511419
1976-03-01,99.6708299716057
1976-04-01,99.717331666003
1976-05-01,99.8684398116676
1976-06-01,100.061954748807
1976-07-01,100.201281550087
1976-08-01,100.210024799908
1976-09-01,100.140771508371
1976-10-01,100.061676575177
1976-11-01,100.021044794877
1976-12-01,100.021754503779
1977-01-01,100.065766074168
1977-02-01,100.157288920489
1977-03-01,100.262646642877
1977-04-01,100.338932323956
1977-05-01,100.348828950742
1977-06-01,100.304501876687
1977-07-01,100.211181623214
1977-08-01,100.064970382086
1977-09-01,99.8996416971983
1977-10-01,99.7545228479818
1977-11-01,99.6614946753967
1977-12-01,99.6117815734241
1978-01-01,99.5791988041272
1978-02-01,99.5000847421014
1978-03-01,99.3640343583728
1978-04-01,99.3627941399481
1978-05-01,99.3866546129137
1978-06-01,99.3513345626355
1978-07-01,99.3253124187597
1978-08-01,99.2278721607962
1978-09-01,99.1342488920865
1978-10-01,98.9078633809468
1978-11-01,98.5265481877877
1978-12-01,98.1810016041282
1979-01-01,98.1560067001725
1979-02-01,98.1408951885419
1979-03-01,97.9523509034629
1979-04-01,97.7588638849666
1979-05-01,97.6296168033392
1979-06-01,97.4488485475253
1979-07-01,97.2893343080866
1979-08-01,97.3256605458437
1979-09-01,97.3657115136061
1979-10-01,97.2911788781571
1979-11-01,97.2733738967426
1979-12-01,97.3127734781761
1980-01-01,97.3963868792993
1980-02-01,97.1908628363769
1980-03-01,96.6566847392043
1980-04-01,96.2420645311103
1980-05-01,96.2075859423943
1980-06-01,96.5988792674405
1980-07-01,97.1647985242286
1980-08-01,97.7802381337249
1980-09-01,98.2988988082322
1980-10-01,98.5193550879209
1980-11-01,98.4107238132347
1980-12-01,98.043399703169
1981-01-01,97.8953990596064
1981-02-01,97.8008064410774
1981-03-01,97.90025516784
1981-04-01,98.2121635089845
1981-05-01,98.4867653839893
1981-06-01,98.5803804538869
1981-07-01,98.6343878201603
1981-08-01,98.6094463813879
1981-09-01,98.3477888961757
1981-10-01,97.9586978524662
1981-11-01,97.6033270930086
1981-12-01,97.5581488572937
1982-01-01,97.6631733932104
1982-02-01,97.5764697653302
1982-03-01,97.4483608946656
1982-04-01,97.4847707551268
1982-05-01,97.5519768127623
1982-06-01,97.5472551675165
1982-07-01,97.5642773540046
1982-08-01,97.6884894141887
1982-09-01,97.9451992821285
1982-10-01,98.1753647237971
1982-11-01,98.2324590430415
1982-12-01,98.2291414996556
1983-01-01,98.3289711321696
1983-02-01,98.7264640153938
1983-03-01,99.3728114840978
1983-04-01,100.066853252448
1983-05-01,100.529798806375
1983-06-01,100.67648749763
1983-07-01,100.640908992517
1983-08-01,100.501583008517
1983-09-01,100.386918676917
1983-10-01,100.393567811323
1983-11-01,100.584787810057
1983-12-01,100.914011664226
1984-01-01,101.242970531555
1984-02-01,101.373004312761
1984-03-01,101.402281216528
1984-04-01,101.28175011945
1984-05-01,101.204548807406
1984-06-01,101.156658069524
1984-07-01,101.226705868644
1984-08-01,101.351474363262
1984-09-01,101.373783680538
1984-10-01,101.208476994687
1984-11-01,101.02945378228
1984-12-01,100.89998993374
1985-01-01,100.881980108235
1985-02-01,100.839757580442
1985-03-01,100.818638496583
1985-04-01,100.819651115051
1985-05-01,100.820654890266
1985-06-01,100.879999140492
1985-07-01,100.809875270852
1985-08-01,100.663589240359
1985-09-01,100.514931858547
1985-10-01,100.418382529238
1985-11-01,100.522876203587
1985-12-01,100.738037421336
1986-01-01,100.920440209472
1986-02-01,101.007351152104
1986-03-01,101.032039031966
1986-04-01,101.071754316552
1986-05-01,101.130000134886
1986-06-01,101.224748565068
1986-07-01,101.167372815046
1986-08-01,100.991255223862
1986-09-01,100.823080724944
1986-10-01,100.733310435512
1986-11-01,100.555451867889
1986-12-01,100.406144506982
1987-01-01,100.374552375252
1987-02-01,100.404178106442
1987-03-01,100.475646935279
1987-04-01,100.55382068044
1987-05-01,100.58610977324
1987-06-01,100.656902370878
1987-07-01,100.757562833994
1987-08-01,100.762159700705
1987-09-01,100.58266836775
1987-10-01,100.245785224214
1987-11-01,99.9793778411238
1987-12-01,100.049271969401
1988-01-01,100.304590061879
1988-02-01,100.538172433082
1988-03-01,100.696464883577
1988-04-01,100.738977472123
1988-05-01,100.828896352801
1988-06-01,100.895146327168
1988-07-01,100.961157108715
1988-08-01,101.066983205583
1988-09-01,101.052101281048
1988-10-01,100.914789773473
1988-11-01,100.815380677924
1988-12-01,100.841406480286
1989-01-01,100.979077680688
1989-02-01,100.959325419014
1989-03-01,100.817938849735
1989-04-01,100.624563830566
1989-05-01,100.496157919622
1989-06-01,100.464721392813
1989-07-01,100.512662011421
1989-08-01,100.59260140599
1989-09-01,100.742256458606
1989-10-01,100.725376478233
1989-11-01,100.603157009171
1989-12-01,100.530147095943
1990-01-01,100.527564464733
1990-02-01,100.509784864939
1990-03-01,100.57767827339
1990-04-01,100.629333491928
1990-05-01,100.501507311524
1990-06-01,100.220353009672
1990-07-01,99.7454518144169
1990-08-01,98.9834739190356
1990-09-01,98.2514495343697
1990-10-01,97.6663899195851
1990-11-01,97.4586266216993
1990-12-01,97.5217883704387
1991-01-01,97.8647973774556
1991-02-01,98.4905568729863
1991-03-01,99.2041339568008
1991-04-01,99.4056852478109
1991-05-01,99.3888945255076
1991-06-01,99.4532430066392
1991-07-01,99.5137450652961
1991-08-01,99.4785451827601
1991-09-01,99.2814570322108
1991-10-01,98.8124920749773
1991-11-01,98.2312491402924
1991-12-01,97.8892626652621
1992-01-01,97.8412724808611
1992-02-01,98.0825390006789
1992-03-01,98.5154224048772
1992-04-01,98.8593079783385
1992-05-01,99.0550929967458
1992-06-01,99.0608628681681
1992-07-01,98.8887089730634
1992-08-01,98.7385205079025
1992-09-01,98.7281929492939
1992-10-01,98.9856658045417
1992-11-01,99.6010994556524
1992-12-01,100.101909016914
1993-01-01,100.232947834249
1993-02-01,100.118616070424
1993-03-01,99.9341094580613
1993-04-01,99.7057372046163
1993-05-01,99.4140176042919
1993-06-01,99.1871598627233
1993-07-01,98.9763861225142
1993-08-01,98.922350919852
1993-09-01,99.042558493293
1993-10-01,99.3202884151864
1993-11-01,99.6541688757561
1993-12-01,100.138693621393
1994-01-01,100.555889350277
1994-02-01,100.704900971177
1994-03-01,100.69423459272
1994-04-01,100.664814330363
