DATE,IDSAMRIAO3P
1962-10-01,6.0
1963-01-01,6.0
1963-04-01,6.0
1963-07-01,6.0
1963-10-01,6.0
1964-01-01,6.0
1964-04-01,6.0
1964-07-01,6.0
1964-10-01,6.0
1965-01-01,6.0
1965-04-01,6.0
1965-07-01,6.0
1965-10-01,6.0
1966-01-01,86.0
1966-04-01,131.0
1966-07-01,161.0
1966-10-01,181.0
1967-01-01,219.0
1967-04-01,349.0
1967-07-01,369.0
1967-10-01,391.0
1968-01-01,689.0
1968-04-01,1184.0
1968-07-01,1394.0
1968-10-01,1485.0
1969-01-01,1710.0
1969-04-01,1743.0
1969-07-01,1774.0
1969-10-01,1934
1970-01-01,2002
1970-04-01,2018
1970-07-01,2293
1970-10-01,2328
1971-01-01,3310
1971-04-01,3831
1971-07-01,4137
1971-10-01,4994
1972-01-01,7986
1972-04-01,10511
1972-07-01,12831
1972-10-01,15782
1973-01-01,19178
1973-04-01,22576
1973-07-01,24054
1973-10-01,25389
1974-01-01,27602.0
1974-04-01,29702.0
1974-07-01,31276.0
1974-10-01,36111.0
1975-01-01,41052.0
1975-04-01,46341.0
1975-07-01,48223.0
1975-10-01,55875.0
1976-01-01,65872.0
1976-04-01,73354.0
1976-07-01,82066.0
1976-10-01,90876.0
1977-01-01,97881.0
1977-04-01,107460.0
1977-07-01,117176.0
1977-10-01,131562.0
1978-01-01,144558.0
1978-04-01,153642.0
1978-07-01,171266.0
1978-10-01,179199.0
1979-01-01,184842.0
1979-04-01,194486.0
1979-07-01,208217.0
1979-10-01,213149.0
1980-01-01,205271.0
1980-04-01,227914.0
1980-07-01,231768.0
1980-10-01,231691.0
1981-01-01,230192.0
1981-04-01,227545.0
1981-07-01,238709.0
1981-10-01,259911.0
1982-01-01,266940.0
1982-04-01,274222.0
1982-07-01,285752.0
1982-10-01,308953.0
1983-01-01,320374.0
1983-04-01,331337.0
1983-07-01,337643.0
1983-10-01,351672.0
1984-01-01,376328.0
1984-04-01,379821.0
1984-07-01,389540.0
1984-10-01,412870.0
1985-01-01,438775.0
1985-04-01,465011.0
1985-07-01,515824.0
1985-10-01,547647.0
1986-01-01,615018.0
1986-04-01,674768.0
1986-07-01,738115.0
1986-10-01,775050.0
1987-01-01,845366.0
1987-04-01,875841.0
1987-07-01,909529.0
1987-10-01,996042.0
1988-01-01,1009267.0
1988-04-01,1005091.0
1988-07-01,1034491.0
1988-10-01,1092989.0
1989-01-01,1107447.0
1989-04-01,1127288.0
1989-07-01,1185883.0
1989-10-01,1244330.0
1990-01-01,1313800.0
1990-04-01,1361351.0
1990-07-01,1466237.0
1990-10-01,1533518.0
1991-01-01,1517328.0
1991-04-01,1535010.0
1991-07-01,1630591.0
1991-10-01,1734927.0
1992-01-01,1713695.0
1992-04-01,1818959.0
1992-07-01,1885628.0
1992-10-01,1814939.0
1993-01-01,1854724.0
1993-04-01,1914955.0
1993-07-01,2012468.0
1993-10-01,2029256.0
1994-01-01,2148481.0
1994-04-01,2272710.0
1994-07-01,2377680.0
1994-10-01,2413618.0
1995-01-01,2599351.0
1995-04-01,2668930.0
1995-07-01,2668813.0
1995-10-01,2711597.0
1996-01-01,2775495.0
1996-04-01,2859158.0
1996-07-01,2948021.0
1996-10-01,3067591.0
1997-01-01,3096181.0
1997-04-01,3246391.0
1997-07-01,3348211.0
1997-10-01,3345913.0
1998-01-01,3463396.0
1998-04-01,3630052.0
1998-07-01,3837731.0
1998-10-01,3953369.0
1999-01-01,4033166.0
1999-04-01,4222362.0
1999-07-01,4587498.0
1999-10-01,4657671.0
2000-01-01,4778705.0
2000-04-01,4990160.0
2000-07-01,5085009.0
2000-10-01,5429517.0
2001-01-01,5625939.0
2001-04-01,5842386.0
2001-07-01,6185831.0
2001-10-01,6335123.0
2002-01-01,6537087.0
2002-04-01,7234470.0
2002-07-01,7322393.0
2002-10-01,7671642.0
2003-01-01,8055155.0
2003-04-01,8523475.0
2003-07-01,8890603.0
2003-10-01,9671522.0
2004-01-01,9931824.0
2004-04-01,10134203.0
2004-07-01,10523249.0
2004-10-01,11479489.0
2005-01-01,11536601.0
2005-04-01,11455533.0
2005-07-01,11603388.0
2005-10-01,11905823.0
2006-01-01,12570779.0
2006-04-01,13455593.0
2006-07-01,13915286.0
2006-10-01,15037209.0
2007-01-01,15904661.0
2007-04-01,17006522.0
2007-07-01,17792203.0
2007-10-01,18424779.0
2008-01-01,19509379.0
2008-04-01,20258153.0
2008-07-01,19175399.0
2008-10-01,18875137.0
2009-01-01,18645088.0
2009-04-01,20142376.0
2009-07-01,20889107.0
2009-10-01,20874442.0
2010-01-01,20400095.0
2010-04-01,19439200.0
2010-07-01,21000290.0
2010-10-01,20833348.0
2011-01-01,21806361.0
2011-04-01,22195433.0
2011-07-01,21348373.0
2011-10-01,20966722.0
2012-01-01,21830096.0
2012-04-01,21075892.0
2012-07-01,21571424.0
2012-10-01,21926146.0
2013-01-01,21437694.0
2013-04-01,21661529.0
2013-07-01,22259154.0
2013-10-01,22682995.0
2014-01-01,22755772.0
2014-04-01,23023748.0
2014-07-01,22204868.0
2014-10-01,21740156.0
2015-01-01,20768473.0
2015-04-01,21465258.0
2015-07-01,21370496.0
2015-10-01,21022469.0
2016-01-01,21631907.0
2016-04-01,21570256.0
2016-07-01,21789252.0
2016-10-01,21174722.0
2017-01-01,21674253.0
2017-04-01,22623169.0
2017-07-01,23312688.0
2017-10-01,23707897.0
2018-01-01,24390073.0
2018-04-01,23957253.0
2018-07-01,24085500.0
2018-10-01,24051978.0
2019-01-01,24248245.0
2019-04-01,24595527.0
2019-07-01,24476840.0
2019-10-01,25196371.0
2020-01-01,24911083.0
