DATE,WPOTFD01INM661N
1994-04-01,21.000566121833
1994-05-01,21.4889513804803
1994-06-01,22.6285169839906
1994-07-01,22.9744565421991
1994-08-01,23.5238899581773
1994-09-01,23.0965528568609
1994-10-01,23.3610948719615
1994-11-01,23.4628418008464
1994-12-01,23.2186491715228
1995-01-01,23.6866850443931
1995-02-01,23.727383815947
1995-03-01,23.3814442577385
1995-04-01,23.9715764452706
1995-05-01,24.2157690745943
1995-06-01,24.7245037190185
1995-07-01,25.2128889776658
1995-08-01,25.4570816069895
1995-09-01,25.3960334496586
1995-10-01,25.3756840638816
1995-11-01,25.4977803785434
1995-12-01,24.7855518763494
1996-01-01,24.2157690745943
1996-02-01,24.5617086328028
1996-03-01,24.9076481910113
1996-04-01,25.9861656371907
1996-05-01,26.8001410682695
1996-06-01,27.5530683420174
1996-07-01,27.837959742895
1996-08-01,28.2449474584344
1996-09-01,28.0007548291107
1996-10-01,28.1635499153265
1996-11-01,28.4484413162041
1996-12-01,28.7536821028586
1997-01-01,28.4280919304271
1997-02-01,28.8554290317434
1997-03-01,28.2245980726574
1997-04-01,28.7740314886356
1997-05-01,27.837959742895
1997-06-01,28.1025017579956
1997-07-01,28.4484413162041
1997-08-01,28.8961278032974
1997-09-01,28.6926339455277
1997-10-01,29.0792722752901
1997-11-01,28.489140087758
1997-12-01,28.8554290317434
1998-01-01,29.9542958636998
1998-02-01,29.160669818398
1998-03-01,29.0792722752901
1998-04-01,30.2595366503544
1998-05-01,31.0531626956562
1998-06-01,32.2130776849435
1998-07-01,32.9660049586914
1998-08-01,32.3351739996053
1998-09-01,32.7421617151447
1998-10-01,34.2480162626405
1998-11-01,34.7364015212878
1998-12-01,33.4747396031156
1999-01-01,31.7857405836271
1999-02-01,31.6025961116344
1999-03-01,31.7857405836271
1999-04-01,33.1288000449072
1999-05-01,32.7218123293678
1999-06-01,33.1491494306841
1999-07-01,33.6375346893314
1999-08-01,34.3497631915254
1999-09-01,34.1259199479787
1999-10-01,34.4311607346332
1999-11-01,34.4108113488563
1999-12-01,33.3322939026768
2000-01-01,33.1084506591302
2000-02-01,33.3322939026768
2000-03-01,34.3497631915254
2000-04-01,34.8788472217266
2000-05-01,35.0416423079423
2000-06-01,35.4282806377048
2000-07-01,34.9602447648344
2000-08-01,34.6550039781799
2000-09-01,34.6346545924029
2000-10-01,35.1637386226042
2000-11-01,34.7567509070648
2000-12-01,34.3701125773023
2001-01-01,34.1055705622017
2001-02-01,34.0852211764247
2001-03-01,34.1869681053096
2001-04-01,35.1637386226042
2001-05-01,35.5096781808126
2001-06-01,35.8759671247981
2001-07-01,35.5096781808126
2001-08-01,35.8352683532442
2001-09-01,36.0794609825678
2001-10-01,36.4660993123302
2001-11-01,36.4254005407763
2001-12-01,36.2829548403375
2002-01-01,35.5096781808126
2002-02-01,35.6114251096975
2002-03-01,35.7742201959132
2002-04-01,36.0998103683448
2002-05-01,36.0387622110139
