DATE,DDDI09USA156NWDB
1996-01-01,2.9338599999999997
1997-01-01,3.4070300000000002
1998-01-01,3.5308699999999997
1999-01-01,3.75264
2000-01-01,3.90529
2001-01-01,4.08143
2002-01-01,4.2070099999999995
2003-01-01,4.08338
2004-01-01,3.91845
2005-01-01,3.6251599999999997
2006-01-01,3.71814
2007-01-01,3.5735
2008-01-01,3.55827
2009-01-01,3.21824
2010-01-01,3.1139900000000003
2011-01-01,3.27393
2012-01-01,3.30807
2013-01-01,2.95476
2014-01-01,2.88896
2015-01-01,2.86614
2016-01-01,2.7591799999999997
2017-01-01,2.56127
