DATE,LREM25TTUSM156S
1977-01-01,71.1166918908064
1977-02-01,71.2296886588059
1977-03-01,71.3535378097098
1977-04-01,71.5758379198111
1977-05-01,71.7465171919979
1977-06-01,71.8664378325285
1977-07-01,71.9118407395814
1977-08-01,72.0140728206402
1977-09-01,72.2673363536638
1977-10-01,72.2811643743864
1977-11-01,72.634103775204
1977-12-01,72.8570098174086
1978-01-01,73.0441100894502
1978-02-01,73.1952096965576
1978-03-01,73.2247607748088
1978-04-01,73.4774884945574
1978-05-01,73.3248481383201
1978-06-01,73.6080417321697
1978-07-01,73.5462502169745
1978-08-01,73.4693051982833
1978-09-01,73.8956186694441
1978-10-01,74.0584762317979
1978-11-01,74.1323684623774
1978-12-01,74.1819003975724
1979-01-01,74.107024577512
1979-02-01,74.3218806797484
1979-03-01,74.3939862788296
1979-04-01,74.2972787170529
1979-05-01,74.4916765945396
1979-06-01,74.6037299923199
1979-07-01,74.8558929415879
1979-08-01,74.6843687014006
1979-09-01,74.9497278709511
1979-10-01,74.9243407364244
1979-11-01,74.7204316100724
1979-12-01,75.1339671276863
1980-01-01,74.9322434724359
1980-02-01,74.8488911472737
1980-03-01,74.6327237495777
1980-04-01,74.4042843308144
1980-05-01,74.0909105096581
1980-06-01,74.0112359813028
1980-07-01,73.8941285565591
1980-08-01,73.9033983614086
1980-09-01,74.1221175618301
1980-10-01,74.1849270880915
1980-11-01,74.370569315058
1980-12-01,74.3946610180662
1981-01-01,74.498841188011
1981-02-01,74.5556077547344
1981-03-01,74.7776021111058
1981-04-01,74.9971621738304
1981-05-01,75.0057885607915
1981-06-01,74.7625619110684
1981-07-01,74.8369666730459
1981-08-01,74.8201025034709
1981-09-01,74.5721693580373
1981-10-01,74.5376706163464
1981-11-01,74.4216734827163
1981-12-01,74.0056054061488
1982-01-01,74.0720838458079
1982-02-01,74.1353903760375
1982-03-01,73.854367202479
1982-04-01,73.698356885091
1982-05-01,73.7747816365848
1982-06-01,73.5919078458335
1982-07-01,73.5223443684016
1982-08-01,73.4759699593892
1982-09-01,73.0980561769204
1982-10-01,72.9610009719786
1982-11-01,72.7488330996039
1982-12-01,72.7045986760836
1983-01-01,72.9628657859991
1983-02-01,72.8380361731976
1983-03-01,72.9843042416212
1983-04-01,73.2300778572763
1983-05-01,73.1524994873994
