DATE,COCHNZ334
2012-06-01,100.0
2012-07-01,100.1
2012-08-01,100.1
2012-09-01,99.5
2012-10-01,99.2
2012-11-01,98.8
2012-12-01,98.5
2013-01-01,98.4
2013-02-01,98.3
2013-03-01,98.0
2013-04-01,97.6
2013-05-01,96.4
2013-06-01,96.3
2013-07-01,96.3
2013-08-01,96.2
2013-09-01,96.3
2013-10-01,96.0
2013-11-01,96.1
2013-12-01,96.2
2014-01-01,96.0
2014-02-01,96.0
2014-03-01,95.7
2014-04-01,95.6
2014-05-01,96.3
2014-06-01,96.3
2014-07-01,96.1
2014-08-01,95.3
2014-09-01,95.2
2014-10-01,95.4
2014-11-01,95.2
2014-12-01,95.2
2015-01-01,95.2
2015-02-01,95.1
2015-03-01,94.9
2015-04-01,94.9
2015-05-01,94.3
2015-06-01,94.1
2015-07-01,94.0
2015-08-01,93.7
2015-09-01,93.6
2015-10-01,93.4
2015-11-01,93.2
2015-12-01,93.1
2016-01-01,93.0
2016-02-01,92.9
2016-03-01,92.6
2016-04-01,92.2
2016-05-01,92.2
2016-06-01,91.8
2016-07-01,92.0
2016-08-01,91.4
2016-09-01,91.5
2016-10-01,91.5
2016-11-01,90.6
2016-12-01,90.5
2017-01-01,89.7
2017-02-01,89.8
2017-03-01,89.8
2017-04-01,89.6
2017-05-01,89.6
2017-06-01,89.5
2017-07-01,89.6
2017-08-01,89.4
2017-09-01,88.3
2017-10-01,88.1
2017-11-01,88.1
2017-12-01,87.9
2018-01-01,87.5
2018-02-01,87.5
2018-03-01,87.5
2018-04-01,87.1
2018-05-01,86.5
2018-06-01,86.4
2018-07-01,86.1
2018-08-01,85.8
2018-09-01,85.8
2018-10-01,85.5
2018-11-01,85.4
2018-12-01,85.4
2019-01-01,84.8
2019-02-01,84.6
2019-03-01,84.4
2019-04-01,83.8
2019-05-01,83.7
2019-06-01,83.5
2019-07-01,83.4
2019-08-01,83.2
2019-09-01,83.0
2019-10-01,82.7
2019-11-01,82.6
2019-12-01,82.8
2020-01-01,82.4
2020-02-01,82.1
2020-03-01,82.0
2020-04-01,82.7
2020-05-01,82.7
