DATE,QCNR628BIS
2005-04-01,87.94
2005-07-01,89.54
2005-10-01,89.75
2006-01-01,88.53
2006-04-01,90.7
2006-07-01,92.47
2006-10-01,92.47
2007-01-01,90.72
2007-04-01,92.68
2007-07-01,93.16
2007-10-01,94.4
2008-01-01,91.82
2008-04-01,92.67
2008-07-01,93.33
2008-10-01,93.67
2009-01-01,92.22
2009-04-01,93.67
2009-07-01,95.65
2009-10-01,97.31
2010-01-01,98.47
2010-04-01,100.88
2010-07-01,100.69
2010-10-01,99.96
2011-01-01,99.13
2011-04-01,99.32
2011-07-01,98.45
2011-10-01,97.69
2012-01-01,95.62
2012-04-01,95.5
2012-07-01,95.54
2012-10-01,95.31
2013-01-01,95.18
2013-04-01,98.28
2013-07-01,100.0
2013-10-01,101.01
2014-01-01,100.76
2014-04-01,101.25
2014-07-01,98.56
2014-10-01,95.95
2015-01-01,93.77
2015-04-01,93.82
2015-07-01,93.83
2015-10-01,94.26
2016-01-01,94.92
2016-04-01,97.14
2016-07-01,99.12
2016-10-01,100.94
2017-01-01,101.2
2017-04-01,103.49
2017-07-01,104.3
2017-10-01,104.24
2018-01-01,103.58
2018-04-01,105.84
2018-07-01,108.08
2018-10-01,109.45
2019-01-01,109.45
2019-04-01,110.58
2019-07-01,110.34
