DATE,USASACRQISMEI
1960-01-01,89.4570837921926
1960-04-01,88.2287284553346
1960-07-01,90.8096050114767
1960-10-01,84.4106275707324
1961-01-01,71.7013626052626
1961-04-01,77.3509102556494
1961-07-01,79.6612825679348
1961-10-01,86.8008208074346
1962-01-01,90.1799066077444
1962-04-01,93.2485777019891
1962-07-01,91.1643646755512
1962-10-01,100.476805857508
1963-01-01,100.969034891411
1963-04-01,102.698488253774
1963-07-01,99.4169613610849
1963-10-01,105.984449642265
1964-01-01,107.682861534021
1964-04-01,109.886805947084
1964-07-01,114.95986914335
1964-10-01,100.308295017072
1965-01-01,128.924096420484
1965-04-01,121.616047340548
1965-07-01,123.043954988448
1965-10-01,123.651480913176
1966-01-01,131.23890322857
1966-04-01,114.560764521266
1966-07-01,117.828987926553
1966-10-01,118.432079355479
1967-01-01,106.277126365126
1967-04-01,118.068450699803
1967-07-01,112.760359226088
1967-10-01,107.066466617692
1968-01-01,125.314416838525
1968-04-01,125.070519569474
1968-07-01,132.773238775692
1968-10-01,130.591466841634
1969-01-01,129.0039173449
1969-04-01,128.09928020151
1969-07-01,127.913031377871
1969-10-01,124.866532762631
1970-01-01,116.409949270255
1970-04-01,120.755755155168
1970-07-01,118.684845616133
1970-10-01,91.2796615663754
1971-01-01,132.693417851275
1971-04-01,132.281009741789
1971-07-01,137.819694997152
1971-10-01,141.47371953712
1972-01-01,139.305251090464
1972-04-01,141.699878822967
1972-07-01,143.7574848746
1972-10-01,153.845962821719
1973-01-01,163.686109003986
1973-04-01,161.32252274209
1973-07-01,148.112159751115
1973-10-01,130.870840077093
1974-01-01,123.71799835019
1974-04-01,119.57617927212
1974-07-01,125.207988939303
1974-10-01,98.3881583352688
1975-01-01,109.443356366991
1975-04-01,102.237300690477
1975-07-01,118.835618473364
1975-10-01,123.824426249412
1976-01-01,133.358592221415
1976-04-01,131.012743942722
1976-07-01,131.438455539612
1976-10-01,136.028158693576
1977-01-01,145.886042859047
1977-04-01,149.921434037895
1977-07-01,146.338361430742
1977-10-01,145.651014581597
1978-01-01,139.566886342719
1978-04-01,156.985585848779
1978-07-01,148.626561264023
1978-10-01,148.897065507879
1979-01-01,149.016796894505
