DATE,SLRTTO01USQ657S
1960-01-01,-5.48919272191772
1960-04-01,0.999928517986215
1960-07-01,-1.45427805936421
1960-10-01,-0.907883723268676
1961-01-01,-0.977896373234785
1961-04-01,0.0743381844604164
1961-07-01,1.31854272599661
1961-10-01,2.63639965874778
1962-01-01,1.30110562782752
1962-04-01,1.30996872524895
1962-07-01,1.16902727001571
1962-10-01,2.08348176790437
1963-01-01,0.023593714346556
1963-04-01,0.34996952685609
1963-07-01,0.663159271586398
1963-10-01,1.22706086906084
1964-01-01,0.686390189514902
1964-04-01,2.24158875946343
1964-07-01,2.03515000463051
1964-10-01,-1.14370420518293
1965-01-01,3.89738507795834
1965-04-01,0.573457296098912
1965-07-01,1.74718779078651
1965-10-01,3.27610780204227
1966-01-01,1.15120811624355
1966-04-01,-1.40060441873415
1966-07-01,1.32517272433939
1966-10-01,-0.944304700662567
1967-01-01,-5.84724014891026
1967-04-01,0.66463507096695
1967-07-01,1.10725885493861
1967-10-01,1.75942452646374
1968-01-01,1.4160435101872
1968-04-01,1.79218170715428
1968-07-01,1.37602928030584
1968-10-01,1.72955302901763
1969-01-01,-0.0665902189736995
1969-04-01,-0.887880789149316
1969-07-01,-0.176776772785056
1969-10-01,1.12968594230978
1970-01-01,-0.711919951634355
1970-04-01,0.497719502566689
1970-07-01,0.770783495316244
1970-10-01,-0.985917898087871
1971-01-01,3.53309244752175
1971-04-01,1.57107414585887
1971-07-01,1.30067153942182
1971-10-01,2.59716840310181
1972-01-01,0.163868020725147
1972-04-01,2.71319130567349
1972-07-01,1.90582963672671
1972-10-01,3.15773720814598
1973-01-01,3.12738433808085
1973-04-01,-1.50186859716426
1973-07-01,-0.680495517015727
1973-10-01,-1.28978195525013
1974-01-01,-2.29032524980775
1974-04-01,0.697460426103969
1974-07-01,0.41700383197811
1974-10-01,-5.3602919841609
1975-01-01,0.505058282013877
1975-04-01,2.15760985887225
1975-07-01,1.76475989803566
1975-10-01,0.126686433965556
1976-01-01,2.23889347065771
1976-04-01,1.45781081336651
1976-07-01,-0.134851766601525
1976-10-01,1.12255495228986
1977-01-01,1.30347292314823
1977-04-01,0.968334791364911
1977-07-01,0.051733959406244
1977-10-01,1.46550961652122
1978-01-01,-0.86943490459933
1978-04-01,3.72403893275103
1978-07-01,-0.428397935761403
1978-10-01,1.46489376741997
1979-01-01,-0.321349349655364
