DATE,LCEAMN01USM661N
1960-01-01,10.7008289374529
1960-02-01,10.7510675709621
1960-03-01,10.7510675709621
1960-04-01,10.7510675709621
1960-05-01,10.7510675709621
1960-06-01,10.7510675709621
1960-07-01,10.7510675709621
1960-08-01,10.8013062044712
1960-09-01,10.8515448379804
1960-10-01,10.8515448379804
1960-11-01,10.8013062044712
1960-12-01,10.8515448379804
1961-01-01,10.8515448379804
1961-02-01,10.8515448379804
1961-03-01,10.8515448379804
1961-04-01,10.9520221049987
1961-05-01,11.0022607385079
1961-06-01,11.0524993720171
1961-07-01,11.1027380055262
1961-08-01,11.1529766390354
1961-09-01,11.0524993720171
1961-10-01,11.2032152725446
1961-11-01,11.2032152725446
1961-12-01,11.2534539060538
1962-01-01,11.3036925395629
1962-02-01,11.3539311730721
1962-03-01,11.3539311730721
1962-04-01,11.3539311730721
1962-05-01,11.4041698065813
1962-06-01,11.3539311730721
1962-07-01,11.4041698065813
1962-08-01,11.4544084400904
1962-09-01,11.4544084400904
1962-10-01,11.5046470735996
1962-11-01,11.5046470735996
1962-12-01,11.5046470735996
1963-01-01,11.5548857071088
1963-02-01,11.6051243406179
1963-03-01,11.6553629741271
1963-04-01,11.6553629741271
1963-05-01,11.7056016076363
1963-06-01,11.7558402411454
1963-07-01,11.8060788746546
1963-08-01,11.7558402411454
1963-09-01,11.8563175081638
1963-10-01,11.8563175081638
1963-11-01,11.9065561416729
1963-12-01,11.9567947751821
1964-01-01,11.9567947751821
1964-02-01,11.9567947751821
1964-03-01,11.9567947751821
1964-04-01,12.0572720422005
1964-05-01,12.0572720422005
1964-06-01,12.1075106757096
1964-07-01,12.1075106757096
1964-08-01,12.1577493092188
1964-09-01,12.2582265762371
1964-10-01,12.0572720422005
1964-11-01,12.1577493092188
1964-12-01,12.2582265762371
1965-01-01,12.3084652097463
1965-02-01,12.3587038432555
1965-03-01,12.4089424767646
1965-04-01,12.4089424767646
1965-05-01,12.509419743783
1965-06-01,12.509419743783
1965-07-01,12.509419743783
1965-08-01,12.5596583772921
1965-09-01,12.6098970108013
1965-10-01,12.6601356443105
1965-11-01,12.6601356443105
1965-12-01,12.7103742778196
1966-01-01,12.7606129113288
1966-02-01,12.8610901783472
1966-03-01,12.8610901783472
1966-04-01,12.9615674453655
1966-05-01,12.9615674453655
1966-06-01,12.9615674453655
1966-07-01,13.0620447123838
1966-08-01,13.112283345893
1966-09-01,13.2127606129113
1966-10-01,13.2629992464205
1966-11-01,13.3132378799297
1966-12-01,13.2629992464205
1967-01-01,13.3132378799297
1967-02-01,13.413715146948
1967-03-01,13.413715146948
1967-04-01,13.4639537804572
1967-05-01,13.5141924139663
1967-06-01,13.5141924139663
1967-07-01,13.6146696809847
1967-08-01,13.715146948003
1967-09-01,13.715146948003
1967-10-01,13.7653855815122
1967-11-01,13.8156242150214
1967-12-01,13.9161014820397
1968-01-01,14.1170560160764
1968-02-01,14.1672946495855
1968-03-01,14.2677719166039
1968-04-01,14.318010550113
1968-05-01,14.4184878171314
1968-06-01,14.4687264506405
1968-07-01,14.5189650841497
1968-08-01,14.5189650841497
1968-09-01,14.6696809846772
1968-10-01,14.7701582516956
1968-11-01,14.8706355187139
1968-12-01,14.9208741522231
1969-01-01,15.0213514192414
1969-02-01,15.0715900527506
1969-03-01,15.1218286862597
1969-04-01,15.2223059532781
1969-05-01,15.2725445867872
1969-06-01,15.3227832202964
1969-07-01,15.4734991208239
1969-08-01,15.5739763878423
1969-09-01,15.6744536548606
1969-10-01,15.7246922883698
1969-11-01,15.7749309218789
1969-12-01,15.8251695553881
1970-01-01,15.9256468224064
1970-02-01,15.9256468224064
1970-03-01,16.0261240894248
1970-04-01,16.0763627229339
1970-05-01,16.1768399899523
1970-06-01,16.2270786234614
1970-07-01,16.3275558904798
1970-08-01,16.2773172569706
1970-09-01,16.5787490580256
1970-10-01,16.3275558904798
1970-11-01,16.3777945239889
1970-12-01,16.8299422255715
1971-01-01,16.980658126099
1971-02-01,17.0308967596081
1971-03-01,17.0308967596081
1971-04-01,17.1816126601356
1971-05-01,17.2318512936448
1971-06-01,17.3323285606632
1971-07-01,17.3323285606632
1971-08-01,17.3323285606632
1971-09-01,17.5332830946998
1971-10-01,17.5332830946998
1971-11-01,17.5332830946998
1971-12-01,17.9854307962823
1972-01-01,18.0859080633007
1972-02-01,18.1361466968098
1972-03-01,18.2366239638282
1972-04-01,18.3873398643557
1972-05-01,18.4375784978649
1972-06-01,18.487817131374
1972-07-01,18.487817131374
1972-08-01,18.5882943983924
1972-09-01,18.8897261994474
1972-10-01,18.9399648329565
1972-11-01,19.0404420999749
1972-12-01,19.3921125345391
1973-01-01,19.4925898015574
1973-02-01,19.4423511680482
1973-03-01,19.4925898015574
1973-04-01,19.6433057020849
1973-05-01,19.7437829691032
1973-06-01,19.8442602361216
1973-07-01,19.9447375031399
1973-08-01,19.9447375031399
