DATE,SLMNTO02USA189N
1960-01-01,30877916666.666702
1961-01-01,30922250000.0
1962-01-01,33357833333.333298
1963-01-01,35057500000.0
1964-01-01,37330666666.6667
1965-01-01,40994833333.3333
1966-01-01,44869666666.6667
1967-01-01,46486333333.3333
1968-01-01,50228666666.6667
1969-01-01,53501083333.3333
1970-01-01,52805250000.0
1971-01-01,55906416666.6667
1972-01-01,63026750000.0
1973-01-01,72931083333.3333
1974-01-01,84789750000.0
1975-01-01,86588750000.0
1976-01-01,98796916666.6667
1977-01-01,113201333333.333
1978-01-01,126904833333.333
1979-01-01,143936166666.667
1980-01-01,154390750000.0
1981-01-01,168128666666.667
1982-01-01,163351166666.667
1983-01-01,172547000000
1984-01-01,190682000000
1985-01-01,194538000000
1986-01-01,194656750000.0
1987-01-01,206325500000.0
1988-01-01,224619333333.333
1989-01-01,236697916666.667
1990-01-01,242685666666.667
1991-01-01,239847250000.0
1992-01-01,242002000000
1993-01-01,251708083333.333
1994-01-01,269842666666.667
1995-01-01,289973083333.333
1996-01-01,299765666666.667
1997-01-01,319558250000.0
1998-01-01,324984416666.667
1999-01-01,335990583333.333
2000-01-01,350715333333.333
2001-01-01,330874916666.667
2002-01-01,326226916666.667
2003-01-01,334615666666.667
2004-01-01,359080833333.333
2005-01-01,395173083333.333
2006-01-01,417962666666.667
2007-01-01,443288083333.333
2008-01-01,455674583333.333
2009-01-01,368291750000.0
2010-01-01,408787083333.333
2011-01-01,458216750000.0
2012-01-01,477774250000.0
2013-01-01,486267083333.333
2014-01-01,497678333333.333
2015-01-01,462208083333.333
2016-01-01,446224500000.0
2017-01-01,467076333333.333
2018-01-01,499964166666.667
2019-01-01,502873916666.667
