DATE,SLWHTO02USQ189S
1984-10-01,113287333333.333
1985-01-01,113654000000
1985-04-01,115000666666.667
1985-07-01,114590666666.667
1985-10-01,115791666666.667
1986-01-01,114024000000
1986-04-01,113375666666.667
1986-07-01,115336333333.333
1986-10-01,117020333333.333
1987-01-01,118908666666.667
1987-04-01,122056000000
1987-07-01,124566666666.667
1987-10-01,126014000000
1988-01-01,128368333333.333
1988-04-01,132227000000
1988-07-01,136567666666.667
1988-10-01,139992666666.667
1989-01-01,142307666666.667
1989-04-01,144174666666.667
1989-07-01,143319333333.333
1989-10-01,146221333333.333
1990-01-01,148851666666.667
1990-04-01,149048666666.667
1990-07-01,150140333333.333
1990-10-01,149601333333.333
1991-01-01,146254333333.333
1991-04-01,148102333333.333
1991-07-01,149189666666.667
1991-10-01,149389666666.667
1992-01-01,144164000000
1992-04-01,145123333333.333
1992-07-01,148495333333.333
1992-10-01,149182000000
1993-01-01,151955333333.333
1993-04-01,154025000000
1993-07-01,154997000000
1993-10-01,154963000000
1994-01-01,158394333333.333
1994-04-01,161324000000
1994-07-01,166949333333.333
1994-10-01,172304333333.333
1995-01-01,176132000000
1995-04-01,178985333333.333
1995-07-01,181176000000
1995-10-01,184929333333.333
1996-01-01,185739333333.333
1996-04-01,188170000000
1996-07-01,191479000000
1996-10-01,193278333333.333
1997-01-01,197034333333.333
1997-04-01,197250000000
1997-07-01,198593333333.333
1997-10-01,199476666666.667
1998-01-01,201422333333.333
1998-04-01,201834333333.333
1998-07-01,201737000000
1998-10-01,203777000000
1999-01-01,206798666666.667
1999-04-01,213813666666.667
1999-07-01,219125333333.333
1999-10-01,225927333333.333
2000-01-01,230227666666.667
2000-04-01,234331666666.667
2000-07-01,236030333333.333
2000-10-01,238448333333.333
2001-01-01,236879666666.667
2001-04-01,232483333333.333
2001-07-01,231739333333.333
2001-10-01,227537000000.0
2002-01-01,229643333333.333
2002-04-01,235459333333.333
2002-07-01,239429666666.667
2002-10-01,240300666666.667
2003-01-01,245409666666.667
2003-04-01,243141333333.333
2003-07-01,248333000000.0
2003-10-01,255590666666.667
2004-01-01,265092666666.667
2004-04-01,273959333333.333
2004-07-01,278541333333.333
2004-10-01,287600000000.0
2005-01-01,294052333333.333
2005-04-01,297599000000.0
2005-07-01,306787666666.667
2005-10-01,316088000000.0
2006-01-01,321110666666.667
2006-04-01,328020666666.667
2006-07-01,332975666666.667
2006-10-01,333212333333.333
