DATE,LMJVTTUVUSM647S
2008-02-01,4233000.0
2008-03-01,4205000.0
2008-04-01,4124000.0
2008-05-01,4237000.0
2008-06-01,3849000.0
2008-07-01,3800000.0
2008-08-01,3709000.0
2008-09-01,3240000.0
2008-10-01,3403000.0
2008-11-01,3158000.0
2008-12-01,3059000.0
2009-01-01,2731000.0
2009-02-01,2838000.0
2009-03-01,2521000.0
2009-04-01,2343000.0
2009-05-01,2574000.0
2009-06-01,2517000.0
2009-07-01,2264000.0
2009-08-01,2365000.0
2009-09-01,2481000.0
2009-10-01,2422000.0
2009-11-01,2435000.0
2009-12-01,2487000.0
2010-01-01,2833000.0
2010-02-01,2651000.0
2010-03-01,2679000.0
2010-04-01,3217000.0
2010-05-01,3019000.0
2010-06-01,2813000.0
2010-07-01,3127000.0
2010-08-01,3025000.0
2010-09-01,2912000.0
2010-10-01,3256000.0
2010-11-01,3134000.0
2010-12-01,2969000.0
2011-01-01,3100000.0
2011-02-01,3213000.0
2011-03-01,3253000.0
2011-04-01,3337000.0
2011-05-01,3207000.0
2011-06-01,3467000.0
2011-07-01,3676000.0
2011-08-01,3358000.0
2011-09-01,3763000.0
2011-10-01,3650000.0
2011-11-01,3485000.0
2011-12-01,3662000.0
2012-01-01,3904000.0
2012-02-01,3605000.0
2012-03-01,3976000.0
2012-04-01,3878000.0
2012-05-01,3861000.0
2012-06-01,3916000.0
2012-07-01,3790000.0
2012-08-01,3839000.0
2012-09-01,3861000.0
2012-10-01,3808000.0
2012-11-01,3787000.0
2012-12-01,3840000.0
2013-01-01,3915000.0
2013-02-01,3981000.0
2013-03-01,4080000.0
2013-04-01,4078000.0
2013-05-01,4173000.0
2013-06-01,4166000.0
2013-07-01,3946000.0
2013-08-01,4112000.0
2013-09-01,4105000.0
2013-10-01,4268000.0
2013-11-01,4002000.0
2013-12-01,3996000.0
2014-01-01,4131000.0
2014-02-01,4347000.0
2014-03-01,4388000.0
2014-04-01,4662000.0
2014-05-01,4775000.0
2014-06-01,4999000.0
2014-07-01,4919000.0
2014-08-01,5383000.0
2014-09-01,4876000.0
2014-10-01,5066000.0
2014-11-01,4719000.0
2014-12-01,4981000.0
2015-01-01,5362000.0
2015-02-01,5446000.0
2015-03-01,5208000.0
2015-04-01,5712000.0
2015-05-01,5599000.0
2015-06-01,5263000.0
2015-07-01,6143000.0
2015-08-01,5510000.0
2015-09-01,5445000.0
2015-10-01,5832000.0
2015-11-01,5573000.0
2015-12-01,5676000.0
2016-01-01,5994000.0
2016-02-01,5757000.0
2016-03-01,6137000.0
2016-04-01,5868000.0
2016-05-01,5812000.0
2016-06-01,5768000.0
2016-07-01,6094000.0
2016-08-01,5716000.0
2016-09-01,5816000.0
2016-10-01,5626000.0
2016-11-01,5867000.0
2016-12-01,5835000.0
2017-01-01,5607000.0
2017-02-01,5872000.0
2017-03-01,5816000.0
2017-04-01,6142000.0
2017-05-01,5851000.0
2017-06-01,6351000.0
2017-07-01,6354000.0
2017-08-01,6335000.0
2017-09-01,6239000.0
2017-10-01,6383000.0
2017-11-01,6204000.0
2017-12-01,6235000.0
2018-01-01,6645000.0
2018-02-01,6575000.0
2018-03-01,6865000.0
2018-04-01,6985000.0
2018-05-01,7028000.0
2018-06-01,7280000.0
2018-07-01,7326000.0
2018-08-01,7249000.0
2018-09-01,7282000.0
2018-10-01,7237000.0
2018-11-01,7509000.0
2018-12-01,7303000.0
2019-01-01,7520000.0
2019-02-01,7048000.0
2019-03-01,7364000.0
2019-04-01,7284000.0
2019-05-01,7300000.0
2019-06-01,7185000.0
2019-07-01,7236000.0
2019-08-01,7166000.0
2019-09-01,7046000.0
2019-10-01,7309000.0
2019-11-01,6793000.0
2019-12-01,6552000.0
2020-01-01,7012000.0
2020-02-01,7004000.0
2020-03-01,6191000.0
