DATE,LMJVTTUVUSM647S
2000-12-01,4868000.0
2001-01-01,5362000.0
2001-02-01,5008000.0
2001-03-01,4698000.0
2001-04-01,4752000.0
2001-05-01,4503000.0
2001-06-01,4378000.0
2001-07-01,4578000.0
2001-08-01,4042000.0
2001-09-01,4045000.0
2001-10-01,3729000.0
2001-11-01,3649000.0
2001-12-01,3523000.0
2002-01-01,3782000.0
2002-02-01,3377000.0
2002-03-01,3573000.0
2002-04-01,3576000.0
2002-05-01,3508000.0
2002-06-01,3415000.0
2002-07-01,3461000.0
2002-08-01,3531000.0
2002-09-01,3290000.0
2002-10-01,3502000.0
2002-11-01,3405000.0
2002-12-01,3039000.0
2003-01-01,3500000.0
2003-02-01,3178000.0
2003-03-01,3064000.0
2003-04-01,3208000.0
2003-05-01,3336000.0
2003-06-01,3398000.0
2003-07-01,3073000.0
2003-08-01,3204000.0
2003-09-01,3082000.0
2003-10-01,3330000.0
2003-11-01,3218000.0
2003-12-01,3281000.0
2004-01-01,3462000.0
2004-02-01,3478000.0
2004-03-01,3492000.0
2004-04-01,3615000.0
2004-05-01,3758000.0
2004-06-01,3345000.0
2004-07-01,3900000.0
2004-08-01,3556000.0
2004-09-01,3829000.0
2004-10-01,3970000.0
2004-11-01,3360000.0
2004-12-01,3935000.0
2005-01-01,3827000.0
2005-02-01,3901000.0
2005-03-01,4019000.0
2005-04-01,4272000.0
2005-05-01,3842000.0
2005-06-01,4072000.0
2005-07-01,4337000.0
2005-08-01,4160000.0
2005-09-01,4376000.0
2005-10-01,4218000.0
2005-11-01,4118000.0
2005-12-01,4146000.0
2006-01-01,4404000.0
2006-02-01,4260000.0
2006-03-01,4706000.0
2006-04-01,4915000.0
2006-05-01,4505000.0
2006-06-01,4625000.0
2006-07-01,4467000.0
2006-08-01,4739000.0
2006-09-01,4778000.0
2006-10-01,4643000.0
2006-11-01,4530000.0
2006-12-01,4469000.0
2007-01-01,4750000.0
2007-02-01,4618000.0
2007-03-01,4926000.0
2007-04-01,4820000.0
2007-05-01,4699000.0
2007-06-01,4882000.0
2007-07-01,4668000.0
2007-08-01,4586000.0
2007-09-01,4682000.0
2007-10-01,4676000.0
2007-11-01,4537000.0
2007-12-01,4400000.0
2008-01-01,4604000.0
