DATE,BSCICP03USM665S
1960-01-01,100.764335975855
1960-02-01,100.06006879976
1960-03-01,99.1455152605817
1960-04-01,98.4288424500844
1960-05-01,98.0431954925364
1960-06-01,98.0386797671288
1960-07-01,98.2013420303958
1960-08-01,98.4354633650409
1960-09-01,98.4539835520066
1960-10-01,98.3628970532354
1960-11-01,98.1810051071926
1960-12-01,98.0569279687774
1961-01-01,98.0942072554707
1961-02-01,98.4753830857505
1961-03-01,99.3407642983057
1961-04-01,100.344289751187
1961-05-01,100.942466403027
1961-06-01,101.174791859634
1961-07-01,101.338416827953
1961-08-01,101.587918671273
1961-09-01,101.792664064433
1961-10-01,101.811997738577
1961-11-01,101.773212429032
1961-12-01,101.884314212977
1962-01-01,101.801203866249
1962-02-01,101.607931502598
1962-03-01,101.207215344153
1962-04-01,100.555689332122
1962-05-01,99.9596811676127
1962-06-01,99.5724190298972
1962-07-01,99.3813986587408
1962-08-01,99.3018187627954
1962-09-01,99.4095766378018
1962-10-01,99.7060337096868
1962-11-01,100.115195777173
1962-12-01,100.439107422172
1963-01-01,100.494368153903
1963-02-01,100.50179996368
1963-03-01,100.61143412272
1963-04-01,100.874091748842
1963-05-01,101.047799153332
1963-06-01,100.943771296996
1963-07-01,100.714432103179
1963-08-01,100.621640337733
1963-09-01,100.699362967704
1963-10-01,100.762516432687
1963-11-01,100.707021238271
1963-12-01,100.614549479243
1964-01-01,100.766044786958
1964-02-01,100.999627265052
1964-03-01,101.209714510951
1964-04-01,101.281340125955
1964-05-01,101.362781810385
1964-06-01,101.584059513334
1964-07-01,101.870555630631
1964-08-01,102.01556403121
1964-09-01,101.981447398466
1964-10-01,101.838579323771
1964-11-01,101.799460939214
1964-12-01,101.815910780696
1965-01-01,101.849047031239
1965-02-01,101.978763420644
1965-03-01,102.076766245628
1965-04-01,101.907721839165
1965-05-01,101.618907204162
1965-06-01,101.300613337739
1965-07-01,101.128046501579
1965-08-01,101.13394387674
1965-09-01,101.255214658679
1965-10-01,101.327042682091
1965-11-01,101.570256721142
1965-12-01,102.015799501502
1966-01-01,102.429414649478
1966-02-01,102.579683111442
1966-03-01,102.454036711554
1966-04-01,102.045526819226
1966-05-01,101.520445996061
1966-06-01,101.312023535326
1966-07-01,101.281310756114
1966-08-01,101.198442569877
1966-09-01,101.046189365445
1966-10-01,100.725047971836
1966-11-01,100.247470109746
1966-12-01,99.7441894322988
1967-01-01,99.2072325638327
1967-02-01,98.7203606715401
1967-03-01,98.3034347576694
1967-04-01,98.0844731989698
1967-05-01,98.2338623195274
1967-06-01,98.658627361385
1967-07-01,99.2098329638789
1967-08-01,99.740533462815
1967-09-01,100.121233123102
1967-10-01,100.275851474941
1967-11-01,100.367689488668
1967-12-01,100.476910234725
1968-01-01,100.529688493459
1968-02-01,100.482816738392
1968-03-01,100.480803112715
1968-04-01,100.566941207983
1968-05-01,100.433472207518
1968-06-01,100.216926979113
1968-07-01,100.064929240374
1968-08-01,99.9749635636982
1968-09-01,100.072298856163
1968-10-01,100.406127306869
1968-11-01,100.663340482772
1968-12-01,100.674205818899
1969-01-01,100.637868783485
1969-02-01,100.691735071378
1969-03-01,100.695956157177
1969-04-01,100.620303101326
1969-05-01,100.560933087837
1969-06-01,100.417277633199
1969-07-01,100.266226952719
1969-08-01,100.253933932879
1969-09-01,100.243161847257
1969-10-01,100.182366976266
1969-11-01,99.9695573281101
1969-12-01,99.618025627391
1970-01-01,99.1753322339422
1970-02-01,98.8229853612673
1970-03-01,98.6265428937236
1970-04-01,98.6151201533949
1970-05-01,98.8728942500195
1970-06-01,99.1517619743779
1970-07-01,99.0752934191784
1970-08-01,98.6783815721044
1970-09-01,98.1479088946427
1970-10-01,97.757931451646
1970-11-01,97.7285476360529
1970-12-01,98.2590860119889
1971-01-01,98.9908232952339
1971-02-01,99.6727405181081
1971-03-01,99.9544763343082
1971-04-01,100.152555819135
1971-05-01,100.213100206455
1971-06-01,100.206338980146
1971-07-01,100.203102616199
1971-08-01,100.197633314941
1971-09-01,100.236747106118
1971-10-01,100.257402161968
1971-11-01,100.362399358891
1971-12-01,100.778739598077
1972-01-01,101.185960773459
1972-02-01,101.412141579251
1972-03-01,101.446432805036
1972-04-01,101.422752765202
1972-05-01,101.417595084975
1972-06-01,101.368770622636
1972-07-01,101.521305243734
1972-08-01,101.888610824777
1972-09-01,102.414764984979
1972-10-01,102.943007481593
1972-11-01,103.403165249494
1972-12-01,103.682174751509
1973-01-01,103.772565292686
1973-02-01,103.619375259421
1973-03-01,103.365563554651
1973-04-01,102.980509043042
1973-05-01,102.513822255752
1973-06-01,102.081635055105
1973-07-01,101.724646339708
1973-08-01,101.88228449214
1973-09-01,102.238587200679
1973-10-01,102.59295685951
1973-11-01,102.67175884837
1973-12-01,102.340617708842
1974-01-01,101.924380002441
1974-02-01,101.593812391591
1974-03-01,101.467024993182
1974-04-01,101.205472166109
1974-05-01,100.812343862418
1974-06-01,100.495353607444
1974-07-01,100.178386615525
1974-08-01,99.6086138097416
1974-09-01,98.6944464373622
1974-10-01,97.6765440286841
1974-11-01,96.635810993358
1974-12-01,95.7767322057536
1975-01-01,95.4607001111712
1975-02-01,95.595959866822
1975-03-01,95.9116661893631
1975-04-01,96.5991656696065
1975-05-01,97.4086369913274
1975-06-01,98.1998612388909
1975-07-01,98.9092926458892
1975-08-01,99.577351664984
1975-09-01,100.079733654895
1975-10-01,100.340830049282
1975-11-01,100.460975072525
1975-12-01,100.686213204101
1976-01-01,101.0782779201
1976-02-01,101.373304055748
1976-03-01,101.408280406809
