DATE,TOTDTEUSQ163N
2005-01-01,72.923
2005-04-01,72.714
2005-07-01,71.808
2005-10-01,70.588
2006-01-01,69.784
2006-04-01,68.857
2006-07-01,67.456
2006-10-01,67.388
2007-01-01,67.244
2007-04-01,66.816
2007-07-01,66.811
2007-10-01,67.029
2008-01-01,69.735
2008-04-01,72.001
2008-07-01,71.663
2008-10-01,76.117
2009-01-01,76.745
2009-04-01,81.299
2009-07-01,83.701
2009-10-01,82.649
2010-01-01,83.437
2010-04-01,80.282
2010-07-01,80.111
2010-10-01,89.471
2011-01-01,88.761
2011-04-01,87.528
2011-07-01,89.161
2011-10-01,90.252
2012-01-01,90.536
2012-04-01,91.02
2012-07-01,90.712
2012-10-01,92.99
2013-01-01,92.263
2013-04-01,90.332
2013-07-01,88.7
2013-10-01,86.578
2014-01-01,88.035
2014-04-01,87.073
2014-07-01,86.852
2014-10-01,88.53
2015-01-01,86.86
2015-04-01,87.966
2015-07-01,89.241
2015-10-01,90.478
2016-01-01,92.743
2016-04-01,92.016
2016-07-01,89.638
2016-10-01,90.079
2017-01-01,89.221
2017-04-01,87.047
2017-07-01,86.534
2017-10-01,85.341
2018-01-01,85.724
2018-04-01,83.176
2018-07-01,84.729
2018-10-01,84.411
2019-01-01,86.771
2019-04-01,85.002
2019-07-01,84.529
2019-10-01,84.8708878675766
