DATE,WSCNDW01USQ470S
1977-07-01,167416.666666667
1977-10-01,172944.444444444
1978-01-01,152444.444444444
1978-04-01,176166.666666667
1978-07-01,168277.77777777798
1978-10-01,169972.22222222202
1979-01-01,138805.555555556
1979-04-01,153805.555555556
1979-07-01,149166.666666667
1979-10-01,130638.88888888899
1980-01-01,103833.33333333301
1980-04-01,88166.6666666667
1980-07-01,116000
1980-10-01,125416.66666666699
1981-01-01,113861.11111111101
1981-04-01,98472.2222222222
1981-07-01,80333.3333333333
1981-10-01,72777.7777777778
1982-01-01,73333.3333333333
1982-04-01,79000
1982-07-01,93222.2222222222
1982-10-01,106888.88888888899
1983-01-01,135861.111111111
1983-04-01,138361.111111111
1983-07-01,150138.888888889
1983-10-01,144111.111111111
1984-01-01,161666.666666667
1984-04-01,151888.888888889
1984-07-01,139333.333333333
1984-10-01,135861.111111111
1985-01-01,142861.111111111
1985-04-01,143805.555555556
1985-07-01,141750.0
1985-10-01,152055.555555556
1986-01-01,158222.22222222202
1986-04-01,156500
1986-07-01,146555.555555556
1986-10-01,142694.444444444
1987-01-01,146777.77777777798
1987-04-01,134333.333333333
1987-07-01,135416.666666667
1987-10-01,126972.222222222
1988-01-01,118777.777777778
1988-04-01,124222.222222222
1988-07-01,123666.66666666699
1988-10-01,129277.777777778
1989-01-01,124111.11111111101
1989-04-01,112972.222222222
1989-07-01,112166.66666666699
1989-10-01,111444.444444444
1990-01-01,118805.555555556
1990-04-01,101027.777777778
1990-07-01,94333.3333333333
1990-10-01,86888.8888888889
1991-01-01,74555.5555555556
1991-04-01,84250.0
1991-07-01,86861.1111111111
1991-10-01,90583.3333333333
1992-01-01,103416.66666666699
1992-04-01,96055.5555555556
1992-07-01,98638.8888888889
1992-10-01,102361.11111111101
1993-01-01,97305.5555555556
1993-04-01,105500
1993-07-01,108250.0
1993-10-01,119472.222222222
1994-01-01,115916.66666666699
1994-04-01,122222.222222222
1994-07-01,121194.444444444
1994-10-01,122666.66666666699
1995-01-01,110333.33333333301
1995-04-01,107277.777777778
1995-07-01,117944.444444444
1995-10-01,118111.11111111101
1996-01-01,121722.222222222
1996-04-01,124638.88888888899
1996-07-01,125111.11111111101
1996-10-01,118083.33333333301
1997-01-01,119388.88888888899
1997-04-01,123000
1997-07-01,121472.222222222
1997-10-01,127666.66666666699
1998-01-01,129888.88888888899
1998-04-01,131027.777777778
1998-07-01,135944.444444444
1998-10-01,143527.77777777798
1999-01-01,142444.444444444
1999-04-01,131194.444444444
1999-07-01,137555.555555556
1999-10-01,137888.888888889
2000-01-01,138250.0
2000-04-01,132222.22222222202
2000-07-01,125305.555555556
2000-10-01,128666.66666666699
2001-01-01,133750.0
2001-04-01,135833.333333333
2001-07-01,133305.555555556
2001-10-01,130833.33333333301
2002-01-01,143583.333333333
2002-04-01,140916.666666667
2002-07-01,141444.444444444
2002-10-01,144138.888888889
2003-01-01,144666.666666667
2003-04-01,146138.888888889
2003-07-01,157472.22222222202
2003-10-01,169638.888888889
2004-01-01,159861.111111111
2004-04-01,161444.444444444
2004-07-01,164750.0
2004-10-01,163777.77777777798
2005-01-01,172638.888888889
2005-04-01,170944.444444444
2005-07-01,175000
2005-10-01,172388.888888889
2006-01-01,177277.77777777798
2006-04-01,155111.111111111
2006-07-01,141861.111111111
2006-10-01,130833.33333333301
2007-01-01,121777.777777778
2007-04-01,120916.66666666699
2007-07-01,107416.66666666699
2007-10-01,97166.6666666667
2008-01-01,88666.6666666667
2008-04-01,84222.2222222222
2008-07-01,71861.1111111111
2008-10-01,55250.0
2009-01-01,43805.5555555556
2009-04-01,44527.7777777778
2009-07-01,49027.7777777778
2009-10-01,47305.5555555556
2010-01-01,51222.2222222222
2010-04-01,50166.6666666667
2010-07-01,48694.4444444444
2010-10-01,44888.8888888889
2011-01-01,48527.7777777778
2011-04-01,47861.1111111111
2011-07-01,51611.1111111111
2011-10-01,55972.2222222222
2012-01-01,58944.4444444444
2012-04-01,61611.1111111111
2012-07-01,65027.7777777778
2012-10-01,75666.6666666667
2013-01-01,79361.1111111111
2013-04-01,72166.6666666667
2013-07-01,73583.3333333333
2013-10-01,84305.5555555556
2014-01-01,77833.3333333333
2014-04-01,82000.0
2014-07-01,85750.0
2014-10-01,87944.4444444444
2015-01-01,82277.7777777778
2015-04-01,96305.5555555556
2015-07-01,96750.0
2015-10-01,93694.4444444444
2016-01-01,96111.1111111111
2016-04-01,96472.2222222222
2016-07-01,95805.5555555556
2016-10-01,104027.777777778
2017-01-01,103138.88888888899
2017-04-01,97555.5555555556
2017-07-01,97638.8888888889
2017-10-01,104944.444444444
2018-01-01,109750.0
2018-04-01,105055.555555556
2018-07-01,101472.222222222
