DATE,WSCNDW01USQ470S
1960-01-01,113111.11111111101
1960-04-01,105750.0
1960-07-01,101055.555555556
1960-10-01,98750.0
1961-01-01,103361.11111111101
1961-04-01,104888.88888888899
1961-07-01,113222.222222222
1961-10-01,115694.444444444
1962-01-01,113388.88888888899
1962-04-01,122527.777777778
1962-07-01,119194.444444444
1962-10-01,131083.333333333
1963-01-01,117611.11111111101
1963-04-01,136611.111111111
1963-07-01,139333.333333333
1963-10-01,135888.888888889
1964-01-01,137222.22222222202
1964-04-01,124027.777777778
1964-07-01,127388.88888888899
1964-10-01,124833.33333333301
1965-01-01,117138.88888888899
1965-04-01,122333.33333333301
1965-07-01,123416.66666666699
1965-10-01,126888.88888888899
1966-01-01,115055.555555556
1966-04-01,105861.11111111101
1966-07-01,90305.5555555556
1966-10-01,77611.1111111111
1967-01-01,90166.6666666667
1967-04-01,101194.444444444
1967-07-01,116444.444444444
1967-10-01,120472.222222222
1968-01-01,121277.777777778
1968-04-01,121305.555555556
1968-07-01,126750.0
1968-10-01,131861.111111111
1969-01-01,139861.111111111
1969-04-01,128750.0
1969-07-01,117583.33333333301
1969-10-01,109361.11111111101
1970-01-01,103027.777777778
1970-04-01,109416.66666666699
1970-07-01,123611.11111111101
1970-10-01,142222.22222222202
1971-01-01,152194.444444444
1971-04-01,168361.111111111
1971-07-01,174500
1971-10-01,183472.22222222202
1972-01-01,200500
1972-04-01,186777.77777777798
1972-07-01,197638.888888889
1972-10-01,202000
1973-01-01,198194.444444444
1973-04-01,178250.0
1973-07-01,168000
1973-10-01,136861.111111111
1974-01-01,132166.666666667
1974-04-01,126277.777777778
1974-07-01,100222.222222222
1974-10-01,85305.5555555556
1975-01-01,81361.1111111111
1975-04-01,89250.0
1975-07-01,104166.66666666699
1975-10-01,111805.555555556
1976-01-01,120166.66666666699
1976-04-01,120805.555555556
1976-07-01,129750.0
1976-10-01,140944.444444444
1977-01-01,153694.444444444
1977-04-01,159888.888888889
