DATE,CSCICP03CNM665S
1990-01-01,98.7140998536506
1990-02-01,98.7753017944306
1990-03-01,98.8668065520551
1990-04-01,98.9880178194339
1990-05-01,99.1020663371557
1990-06-01,99.143795019969
1990-07-01,99.0779722975384
1990-08-01,98.9436943608704
1990-09-01,98.8340769555053
1990-10-01,98.8582714597058
1990-11-01,99.0788204313447
1990-12-01,99.4874631037039
1991-01-01,99.9999137369334
1991-02-01,100.477873591888
1991-03-01,100.776431336955
1991-04-01,100.825954233148
1991-05-01,100.634988641387
1991-06-01,100.283802590916
1991-07-01,99.9000240479717
1991-08-01,99.579172320056
1991-09-01,99.3808474173043
1991-10-01,99.3050580634442
1991-11-01,99.3182847400687
1991-12-01,99.3862035758769
1992-01-01,99.5035251346693
1992-02-01,99.712206508778
1992-03-01,100.070260689514
1992-04-01,100.615337051539
1992-05-01,101.30812542446
1992-06-01,102.047130770868
1992-07-01,102.707997711944
1992-08-01,103.222749008827
1992-09-01,103.564900590827
1992-10-01,103.751495833985
1992-11-01,103.845477696023
1992-12-01,103.898289867049
1993-01-01,103.942025836757
1993-02-01,103.97968218802
1993-03-01,104.027553556422
1993-04-01,104.120641743614
1993-05-01,104.30784981353
1993-06-01,104.601959369817
1993-07-01,104.92161887978
1993-08-01,105.141757835046
1993-09-01,105.118450958563
1993-10-01,104.770237501671
1993-11-01,104.10142812058
1993-12-01,103.20579461631
1994-01-01,102.246331881865
1994-02-01,101.360385720255
1994-03-01,100.628609892689
1994-04-01,100.056537523171
1994-05-01,99.6173094921571
1994-06-01,99.306961230633
1994-07-01,99.1529961049359
1994-08-01,99.1802099613196
1994-09-01,99.392394393174
1994-10-01,99.7881883492607
1994-11-01,100.321155560338
1994-12-01,100.934645229267
1995-01-01,101.588675859996
1995-02-01,102.206296628678
1995-03-01,102.708604186861
1995-04-01,103.043103862099
1995-05-01,103.155122210582
1995-06-01,103.040896523478
1995-07-01,102.76475287231
1995-08-01,102.444135402194
1995-09-01,102.181226266058
1995-10-01,102.039039377796
1995-11-01,102.045936760689
1995-12-01,102.165553577186
1996-01-01,102.332966210635
1996-02-01,102.46427184264
1996-03-01,102.504503142714
1996-04-01,102.468584494748
1996-05-01,102.401100696942
1996-06-01,102.326084680528
1996-07-01,102.271435842961
1996-08-01,102.214739670467
1996-09-01,102.180982040236
1996-10-01,102.126983534436
1996-11-01,101.93209160582
1996-12-01,101.409113618912
1997-01-01,100.542274243244
1997-02-01,99.9240625110159
1997-03-01,99.6410598202709
1997-04-01,99.6337588794009
1997-05-01,99.8073045394146
1997-06-01,100.038794734807
1997-07-01,100.219062146645
1997-08-01,100.279576794889
1997-09-01,100.227505949659
1997-10-01,100.128264947606
1997-11-01,100.071457107901
1997-12-01,100.097852875814
1998-01-01,100.083935803941
1998-02-01,99.6724413196649
1998-03-01,99.0183866955704
1998-04-01,98.4684526351801
1998-05-01,97.923073958464
1998-06-01,97.3863736622287
1998-07-01,97.0378214860182
1998-08-01,97.1229522390547
1998-09-01,97.3544777548185
1998-10-01,97.6023345011635
1998-11-01,97.7482889937935
1998-12-01,97.9548666253517
1999-01-01,98.1748734558344
1999-02-01,98.2893422979895
1999-03-01,98.3181805330297
1999-04-01,98.3918321977168
1999-05-01,98.5501778908428
