DATE,LFEAAGTTUSM647S
1960-01-01,5418047.7846176
1960-02-01,5386444.12145105
1960-03-01,4977188.25304776
1960-04-01,5409528.47892644
1960-05-01,5356267.95583022
1960-06-01,5420721.45769865
1960-07-01,5563266.16058544
1960-08-01,5537825.1837673895
1960-09-01,5799476.644209339
1960-10-01,5446677.2930604005
1960-11-01,5499425.59414893
1960-12-01,5623057.38521271
1961-01-01,5413035.35675218
1961-02-01,5433647.2683311
1961-03-01,5367241.60063479
1961-04-01,5023407.385556621
1961-05-01,5108847.300100121
1961-06-01,5212635.07324112
1961-07-01,5159444.91986637
1961-08-01,5394748.46280942
1961-09-01,5015887.5096651
1961-10-01,5206074.67491565
1961-11-01,5083602.53874102
1961-12-01,5057011.397989839
1962-01-01,5147838.941404381
1962-02-01,5284932.94332863
1962-03-01,5177028.31996353
1962-04-01,5023951.61068986
1962-05-01,4972915.8860767605
1962-06-01,4941833.9197631
1962-07-01,4835594.44032327
1962-08-01,4878625.41222092
1962-09-01,4871467.03669808
1962-10-01,4805943.01571354
1962-11-01,4828638.05633209
1962-12-01,4684502.041265651
1963-01-01,4896119.21742985
1963-02-01,4674336.60806953
1963-03-01,4712962.560488519
1963-04-01,4677304.76955824
1963-05-01,4716455.14923542
1963-06-01,4632988.94863382
1963-07-01,4676214.669813801
1963-08-01,4603424.47259947
1963-09-01,4662785.9444257
1963-10-01,4705390.64256652
1963-11-01,4693420.6853286
1963-12-01,4657090.127960759
1964-01-01,4633415.99967904
1964-02-01,4555082.47966237
1964-03-01,4360242.54050755
1964-04-01,4417466.87906
1964-05-01,4565561.50623675
1964-06-01,4549967.86176814
1964-07-01,4576851.26611955
1964-08-01,4570938.49619002
1964-09-01,4615499.396909661
1964-10-01,4551069.23432077
1964-11-01,4494373.771169949
1964-12-01,4361285.6904785
1965-01-01,4338673.40624009
1965-02-01,4377589.8982713
1965-03-01,4343388.54520197
1965-04-01,4429214.3044846095
1965-05-01,4690303.70832901
1965-06-01,4430415.89291038
1965-07-01,4384568.95372707
1965-08-01,4340075.9908262
1965-09-01,4265997.181399169
1965-10-01,4439927.4876221
1965-11-01,4097202.0179478303
1965-12-01,4164790.13371836
1966-01-01,4089490.3170373
1966-02-01,4084579.5187436603
1966-03-01,4085396.31840835
1966-04-01,4104399.97270489
1966-05-01,3908607.96429975
1966-06-01,3981492.31110715
1966-07-01,3904547.83579135
1966-08-01,3927934.7718393803
1966-09-01,3955848.11336425
1966-10-01,3929507.70386212
1966-11-01,3956943.37184079
1966-12-01,3921198.28150407
1967-01-01,3948391.66777902
1967-02-01,3819643.99505445
1967-03-01,3809359.3413414
1967-04-01,3780466.4378071604
1967-05-01,3649274.59361711
1967-06-01,3710904.92568735
1967-07-01,3848069.40264374
1967-08-01,3985921.1796887997
1967-09-01,3755419.79756043
1967-10-01,3902314.5793875703
1967-11-01,3910899.38444004
1967-12-01,4109407.28486243
1968-01-01,3971096.30988021
1968-02-01,4008097.78185659
1968-03-01,3937604.30636566
1968-04-01,3900196.74838318
1968-05-01,3800643.93656542
1968-06-01,3811035.5351101
1968-07-01,3814023.66121701
1968-08-01,3731323.54641933
