"Net official development assistance received (% of GNI)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"170","Afghanistan","..","","..","","..","","..","","40.7","","38.6","","33.3","","25.0","","24.1","","21.2","","20.9","","18.7",""
"69","Albania","0.5","","7.4","","8.9","","3.8","","3.1","","2.9","","2.9","","2.1","","2.1","","2.9","","1.4","","1.2",""
"82","Algeria","0.6","","0.7","","0.4","","0.4","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"149","Angola","2.7","","8.7","","4.1","","1.3","","0.3","","0.2","","0.2","","0.2","","0.2","","0.3","","0.2","","0.2",""
"74","Antigua and Barbuda","1.1","","0.4","","1.3","","0.8","","1.8","","1.4","","0.2","","0.1","","0.2","","0.1","","0.0","","0.7",""
"48","Argentina","0.1","","0.1","","0.0","","0.1","","0.0","","0.0","","0.0","","0.0","","0.0","","-0.0","","0.0","","-0.0",""
"81","Armenia","..","","14.8","","11.0","","3.4","","3.5","","3.8","","2.5","","2.4","","2.2","","3.2","","3.0","","2.1",""
"87","Azerbaijan","..","","3.9","","2.8","","1.8","","0.3","","0.5","","0.4","","-0.1","","0.3","","0.1","","0.2","","0.3",""
"60","Bahamas","0.1","","0.1","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"45","Bahrain","3.9","","1.7","","0.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135","Bangladesh","6.5","","3.3","","2.1","","1.8","","1.1","","1.1","","1.5","","1.6","","1.3","","1.2","","1.1","","1.4",""
"56","Barbados","0.1","","-0.1","","0.0","","-0.1","","0.4","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","..","","..","","0.2","","0.2","","0.2","","0.2","","0.1","","0.2","","0.2","","-0.0","","-0.5"," a"
"103","Belize","7.5","","3.2","","2.1","","1.2","","2.0","","1.6","","1.8","","3.4","","2.4","","1.7","","2.1","","2.0",""
"163","Benin","13.9","","13.2","","9.6","","7.3","","10.0","","8.6","","6.3","","7.3","","6.2","","5.2","","5.8","","7.4",""
"134","Bhutan","16.4","","27.5","","12.2","","11.2","","8.8","","8.3","","9.6","","8.2","","7.1","","5.1","","2.5","","5.1",""
"114","Bolivia (Plurinational State of)","11.8","","10.9","","5.9","","7.0","","3.8","","3.2","","2.6","","2.4","","2.2","","2.5","","2.1","","2.6",""
"75","Bosnia and Herzegovina","..","","59.5","","12.1","","4.6","","2.9","","3.3","","3.3","","2.8","","3.4","","2.2","","2.6","","2.4",""
"94","Botswana","3.9","","1.9","","0.6","","0.5","","1.3","","0.8","","0.4","","0.7","","0.6","","0.5","","0.6","","0.6",""
"79","Brazil","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.1","","0.0","","0.0","","0.1","","0.0","","0.0",""
"43","Brunei Darussalam","0.1","","0.1","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182","Burkina Faso","10.6","","20.7","","6.9","","12.8","","11.9","","9.5","","10.5","","8.9","","9.3","","9.9","","9.8","","7.4",""
"185","Burundi","23.5","","29.0","","10.5","","33.3","","31.0","","25.8","","22.5","","22.8","","19.1","","11.8","","25.1","","13.5",""
"126","Cabo Verde","34.1","","23.9","","18.0","","17.4","","20.6","","14.0","","14.6","","13.7","","13.1","","9.9","","7.1","","7.2",""
"146","Cambodia","..","","16.3","","11.2","","9.0","","6.8","","6.5","","6.1","","5.5","","5.1","","4.0","","3.9","","4.1",""
"150","Cameroon","4.2","","4.9","","4.0","","2.4","","2.1","","2.1","","2.1","","2.4","","2.5","","2.2","","2.4","","3.5",""
