"Ratio of education and health expenditure to military expenditure"
"HDI Rank (2018)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"170","Afghanistan","..","","..","","6.2","","6.6","","8.9","","11.4","","10.2","","13.4","","15.1",""
"69","Albania","8.1","","7.1","","..","","..","","..","","7.0","","..","","8.8","","9.7",""
"149","Angola","0.8","","1.8","","1.5","","..","","..","","..","","..","","..","","..",""
"48","Argentina","11.4","","13.6","","16.7","","17.9","","17.5","","16.5","","15.5","","17.1","","16.1",""
"81","Armenia","2.6","","3.4","","2.0","","1.8","","2.6","","2.7","","3.2","","3.0","","3.1",""
"6","Australia","6.8","","7.2","","7.5","","7.7","","8.1","","8.5","","8.0","","7.5","","..",""
"20","Austria","15.1","","17.5","","19.4","","19.7","","20.1","","21.1","","21.2","","22.6","","..",""
"87","Azerbaijan","3.4","","4.5","","2.8","","1.5","","1.5","","1.7","","1.8","","1.8","","2.6",""
"45","Bahrain","..","","..","","..","","..","","1.8","","1.6","","1.6","","1.6","","..",""
"135","Bangladesh","3.0","","..","","..","","3.5","","3.6","","3.6","","..","","..","","2.8",""
"50","Belarus","8.7","","8.1","","8.1","","7.8","","8.2","","8.3","","8.0","","8.5","","8.9",""
"17","Belgium","..","","..","","..","","..","","..","","..","","17.4","","18.1","","..",""
"103","Belize","10.5","","..","","11.3","","..","","..","","10.8","","10.4","","11.1","","10.6",""
"163","Benin","12.6","","8.2","","..","","..","","9.9","","9.0","","8.3","","7.6","","8.5",""
"114","Bolivia (Plurinational State of)","4.8","","..","","7.6","","7.1","","6.3","","6.4","","6.9","","..","","..",""
"94","Botswana","..","","5.6","","..","","..","","..","","..","","..","","..","","..",""
"79","Brazil","6.1","","8.4","","10.0","","11.0","","11.5","","12.1","","12.6","","13.0","","..",""
"43","Brunei Darussalam","1.5","","..","","1.5","","2.3","","2.2","","..","","1.7","","..","","1.9",""
"52","Bulgaria","..","","4.7","","6.2","","7.4","","7.4","","7.4","","..","","..","","..",""
"182","Burkina Faso","..","","6.6","","7.1","","7.5","","6.8","","7.7","","7.1","","7.5","","..",""
"185","Burundi","1.8","","2.7","","..","","..","","5.7","","5.8","","5.3","","5.1","","5.1",""
"126","Cabo Verde","..","","..","","20.3","","17.9","","..","","19.3","","18.9","","18.9","","17.1",""
"146","Cambodia","3.7","","..","","5.7","","6.0","","5.7","","5.7","","5.2","","..","","..",""
"150","Cameroon","4.3","","5.2","","5.0","","4.7","","5.4","","5.5","","5.8","","6.0","","5.6",""
"13","Canada","12.3","","12.5","","13.3","","13.0","","..","","..","","..","","..","","..",""
"188","Central African Republic","..","","5.6","","1.9","","2.2","","..","","..","","..","","..","","..",""
"187","Chad","6.0","","7.9","","1.0","","1.2","","..","","1.4","","..","","..","","..",""
"42","Chile","4.0","","3.9","","4.9","","4.8","","..","","6.0","","6.4","","6.9","","7.2",""
"79","Colombia","3.0","","2.8","","3.1","","3.3","","3.2","","3.3","","3.3","","3.4","","3.4",""
"138","Congo","..","","2.2","","4.6","","..","","..","","..","","1.3","","..","","..",""
"179","Congo (Democratic Republic of the)","..","","..","","6.2","","..","","..","","4.9","","6.2","","4.8","","6.3",""
"46","Croatia","..","","..","","7.3","","6.7","","..","","6.9","","..","","..","","..",""
"72","Cuba","..","","..","","7.1","","..","","..","","..","","..","","..","","..",""
"31","Cyprus","3.6","","5.6","","6.9","","7.5","","..","","8.3","","8.6","","7.9","","..",""
"26","Czechia","5.0","","5.7","","9.1","","10.4","","10.5","","11.6","","12.0","","13.7","","..",""
