"Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older)"
"HDI Rank (2018)","Country","2011","","2014","","2017",""
"157","Rwanda","28.2","","35.3","","45.0",""
"36","Saudi Arabia","15.2","","61.1","","58.2",""
"166","Senegal","5.5","","11.4","","38.5",""
"63","Serbia","62.3","","83.0","","70.1",""
"181","Sierra Leone","12.8","","12.5","","15.4",""
"9","Singapore","98.2","","96.1","","96.3",""
"36","Slovakia","78.9","","80.0","","83.1",""
"24","Slovenia","98.1","","97.0","","96.9",""
"..","Somalia","..","","33.7","","33.7"," a"
"113","South Africa","51.0","","70.4","","70.0",""
"186","South Sudan","..","","..","","4.7",""
"25","Spain","91.7","","97.6","","91.6",""
"71","Sri Lanka","67.2","","83.1","","73.4",""
"168","Sudan","4.4","","10.0","","10.0"," a"
"8","Sweden","99.0","","99.8","","100.0",""
"2","Switzerland","..","","96.7","","98.9",""
"154","Syrian Arab Republic","19.6","","19.6"," b","19.6"," b"
"125","Tajikistan","2.1","","9.1","","42.1",""
"159","Tanzania (United Republic of)","13.8","","34.3","","42.2",""
"77","Thailand","72.6","","75.4","","79.8",""
"167","Togo","9.2","","15.1","","37.6",""
"63","Trinidad and Tobago","69.9","","..","","73.6",""
"91","Tunisia","..","","20.7","","28.4",""
"59","Turkey","32.7","","44.5","","54.3",""
"108","Turkmenistan","0.8","","..","","35.5",""
"159","Uganda","15.1","","36.6","","52.7",""
"88","Ukraine","39.2","","51.7","","61.3",""
"35","United Arab Emirates","47.2","","67.7","","76.4",""
"15","United Kingdom","97.7","","98.7","","96.1",""
"15","United States","84.1","","94.8","","92.7",""
"57","Uruguay","23.8","","41.3","","60.6",""
"108","Uzbekistan","21.3","","39.3","","36.0",""
"96","Venezuela (Bolivarian Republic of)","36.2","","53.3","","70.0",""
"118","Viet Nam","18.9","","32.0","","30.4",""
"177","Yemen","1.1","","1.7","","1.7"," a"
"143","Zambia","23.3","","33.2","","40.3",""
"150","Zimbabwe","37.1","","29.0","","51.7",""
"36","Andorra","..","","..","","..",""
"74","Antigua and Barbuda","..","","..","","..",""
"60","Bahamas","..","","..","","..",""
"56","Barbados","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..",""
"126","Cabo Verde","..","","..","","..",""
"72","Cuba","..","","..","","..",""
"98","Dominica","..","","..","","..",""
"182","Eritrea","..","","..","","..",""
"98","Fiji","..","","..","","..",""
"135","Micronesia (Federated States of)","..","","..","","..",""
"174","Gambia","..","","..","","..",""
"178","Guinea-Bissau","..","","..","","..",""
"144","Equatorial Guinea","..","","..","","..",""
"78","Grenada","..","","..","","..",""
"123","Guyana","..","","..","","..",""
"6","Iceland","..","","..","","..",""
"132","Kiribati","..","","..","","..",""
"73","Saint Kitts and Nevis","..","","..","","..",""
"89","Saint Lucia","..","","..","","..",""
"18","Liechtenstein","..","","..","","..",""
"104","Maldives","..","","..","","..",""
"117","Marshall Islands","..","","..","","..",""
"55","Palau","..","","..","","..",""
"155","Papua New Guinea","..","","..","","..",""
"153","Solomon Islands","..","","..","","..",""
"137","Sao Tome and Principe","..","","..","","..",""
"98","Suriname","..","","..","","..",""
"62","Seychelles","..","","..","","..",""
"131","Timor-Leste","..","","..","","..",""
"105","Tonga","..","","..","","..",""
"94","Saint Vincent and the Grenadines","..","","..","","..",""
"141","Vanuatu","..","","..","","..",""
"111","Samoa","..","","..","","..",""
"","Human Development"," ","","..","","..",""
" ","Very high human development","76.5","","85.4","","86.8",""
" ","High human development","48.6","","63.2","","65.5",""
" ","Medium human development","23.3","","35.7","","58.2",""
" ","Low human development","13.3","","21.0","","26.1",""
" ","Developing Countries","36.6","","49.2","","58.3",""
"","Regions"," ","","..","","..",""
" ","Arab States","12.8","","22.3","","27.0",""
" ","East Asia and the Pacific","..","","..","","..",""
" ","Europe and Central Asia","33.4","","45.9","","53.5",""
" ","Latin America and the Caribbean","35.0","","49.0","","52.1",""
" ","South Asia","26.1","","39.8","","65.1",""
" ","Sub-Saharan Africa","21.7","","30.5","","36.0",""
" ","Least Developed Countries","14.8","","20.0","","28.4",""
" ","Small Island Developing States","..","","..","","..",""
" ","Organization for Economic Co-operation and Development","79.7","","86.2","","86.3",""
" ","World","46.4","","57.6","","64.8",""
"a: Refers to 2014."
"b: Refers to 2011."
""
