"HIV prevalence, adult (% ages 15-49), total"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"69","Albania","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"82","Algeria","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"149","Angola","0.2","","0.5","","1.0","","1.4","","1.8","","1.8","","1.8","","1.9","","1.9","","1.9","","1.9","","1.9",""
"48","Argentina","0.1","","0.3","","0.3","","0.3","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4","","0.4",""
"81","Armenia","0.1","","0.1","","0.1","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2",""
"6","Australia","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"20","Austria","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"87","Azerbaijan","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1",""
"60","Bahamas","2.2","","2.8","","2.9","","2.6","","2.4","","2.3","","2.3","","2.2","","2.1","","2.0","","2.0","","1.9",""
"45","Bahrain","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"135","Bangladesh","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"56","Barbados","0.1","","0.2","","0.4","","0.8","","1.3","","1.3","","1.4","","1.5","","1.5","","1.5","","1.6","","1.6",""
"50","Belarus","0.1","","0.1","","0.1","","0.1","","0.2","","0.2","","0.2","","0.3","","0.3","","0.4","","0.4","","0.4",""
"103","Belize","0.1","","0.6","","1.0","","1.4","","1.6","","1.7","","1.7","","1.8","","1.8","","1.8","","1.9","","1.9",""
"163","Benin","0.2","","0.9","","1.4","","1.3","","1.1","","1.1","","1.1","","1.1","","1.1","","1.0","","1.0","","1.0",""
"114","Bolivia (Plurinational State of)","0.1","","0.1","","0.2","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3","","0.3",""
"94","Botswana","6.1","","20.3","","27.0","","24.5","","23.2","","23.1","","23.1","","23.1","","23.1","","23.1","","23.0","","22.8",""
"79","Brazil","0.2","","0.3","","0.3","","0.4","","0.5","","0.5","","0.5","","0.6","","0.6","","0.6","","0.6","","0.6",""
"52","Bulgaria","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"182","Burkina Faso","3.5","","3.7","","2.5","","1.5","","1.0","","1.0","","0.9","","0.9","","0.9","","0.8","","0.8","","0.8",""
"185","Burundi","2.2","","3.8","","3.5","","2.3","","1.5","","1.4","","1.3","","1.2","","1.2","","1.1","","1.1","","1.1",""
"126","Cabo Verde","0.4","","0.7","","0.9","","0.8","","0.7","","0.7","","0.7","","0.6","","0.6","","0.6","","0.6","","0.6",""
"146","Cambodia","0.1","","1.3","","1.6","","1.1","","0.8","","0.7","","0.7","","0.7","","0.6","","0.6","","0.6","","0.5",""
"150","Cameroon","0.9","","2.8","","4.6","","5.1","","4.6","","4.5","","4.4","","4.2","","4.1","","3.9","","3.8","","3.7",""
"188","Central African Republic","3.5","","8.8","","9.3","","6.5","","4.9","","4.8","","4.6","","4.5","","4.3","","4.2","","4.1","","4.0",""
