"Population using at least basic sanitation services (%)"
"HDI Rank (2018)","Country","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"170","Afghanistan","24","","24","","25","","26","","27","","28","","29","","30","","32","","33","","34","","35","","37","","38","","39","","41","","42","","43",""
"69","Albania","88","","89","","90","","91","","91","","92","","93","","94","","94","","95","","96","","96","","97","","97","","98","","98","","98","","98",""
"82","Algeria","84","","84","","84","","85","","85","","85","","86","","86","","86","","86","","87","","87","","87","","87","","87","","87","","88","","88",""
"36","Andorra","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"149","Angola","28","","29","","30","","32","","33","","35","","36","","37","","39","","40","","41","","42","","44","","45","","46","","47","","49","","50",""
"74","Antigua and Barbuda","82","","83","","83","","84","","84","","84","","85","","85","","86","","86","","86","","87","","87","","88","","88","","88","","88","","88",""
"48","Argentina","87","","88","","88","","89","","89","","90","","90","","91","","91","","92","","93","","93","","94","","94","","94","","94","","94","","..",""
"81","Armenia","87","","87","","88","","88","","88","","89","","89","","90","","90","","91","","91","","91","","92","","92","","93","","93","","93","","94",""
"6","Australia","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"20","Austria","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"87","Azerbaijan","63","","65","","66","","68","","69","","72","","74","","76","","78","","80","","83","","85","","87","","89","","91","","92","","92","","93",""
"60","Bahamas","88","","88","","89","","89","","90","","90","","91","","91","","92","","92","","93","","93","","94","","94","","95","","95","","95","","95",""
"45","Bahrain","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100",""
"135","Bangladesh","26","","27","","28","","30","","31","","32","","34","","35","","37","","38","","39","","41","","42","","43","","44","","46","","47","","48",""
"56","Barbados","89","","89","","90","","90","","91","","91","","92","","92","","93","","93","","94","","94","","95","","95","","96","","96","","97","","97",""
"50","Belarus","92","","92","","92","","92","","92","","93","","93","","94","","94","","95","","95","","96","","97","","97","","98","","98","","98","","98",""
"17","Belgium","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99","","99",""
"103","Belize","82","","83","","83","","83","","84","","84","","84","","85","","85","","85","","86","","86","","86","","87","","87","","87","","88","","88",""
"163","Benin","9","","9","","9","","10","","10","","11","","11","","12","","12","","13","","13","","14","","15","","15","","16","","16","","16","","16",""
"134","Bhutan","50","","50","","52","","53","","54","","56","","57","","58","","60","","61","","62","","63","","64","","65","","66","","67","","68","","69",""
"114","Bolivia (Plurinational State of)","35","","36","","37","","38","","39","","40","","41","","43","","44","","46","","48","","50","","51","","53","","55","","57","","59","","61",""
"75","Bosnia and Herzegovina","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95","","95",""
"94","Botswana","52","","53","","55","","56","","57","","59","","60","","62","","63","","65","","67","","69","","70","","72","","73","","75","","76","","77",""
"79","Brazil","73","","74","","75","","76","","77","","78","","78","","79","","80","","81","","82","","83","","84","","85","","86","","87","","87","","88",""
"43","Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","96","","96","","96","","96","","96","","96","","96","","96","","96","","..","","..",""
