"Net migration rate (per 1,000 people)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2015","","2020",""
"52","Bulgaria","-4.1","","-8.3","","-3.3","","-2.2","","-2.2","","-0.7"," a","-0.7"," b"
"182","Burkina Faso","-4.4","","-3.2","","-2.5","","-2.0","","-1.7","","-1.5"," a","-1.3"," b"
"185","Burundi","-7.1","","-11.2","","-14.7","","-0.7","","0.7","","-1.5"," a","0.2"," b"
"126","Cabo Verde","-17.1","","-3.5","","-2.7","","-4.4","","-4.7","","-3.2"," a","-2.5"," b"
"146","Cambodia","-1.9","","8.3","","6.1","","-0.6","","-4.3","","-2.0"," a","-1.9"," b"
"150","Cameroon","-0.4","","-0.8","","-0.7","","-0.7","","-0.6","","-0.3"," a","-0.2"," b"
"13","Canada","6.5","","4.9","","5.2","","6.7","","8.0","","7.1"," a","6.6"," b"
"188","Central African Republic","-6.0","","3.3","","1.7","","-1.3","","-6.0","","-17.8"," a","-8.6"," b"
"187","Chad","0.1","","-0.3","","1.8","","4.7","","1.4","","1.5"," a","0.1"," b"
"42","Chile","-1.1","","0.1","","0.3","","0.5","","1.3","","1.9"," a","6.0"," b"
"85","China","-0.1","","-0.1","","-0.1","","-0.3","","-0.3","","-0.2"," a","-0.2"," b"
"79","Colombia","-2.1","","-1.7","","-1.4","","-1.1","","-0.9","","-0.8"," a","4.2"," b"
"156","Comoros","-2.3","","-1.4","","-2.4","","-3.5","","-3.1","","-2.7"," a","-2.4"," b"
"138","Congo","0.2","","1.8","","3.4","","3.1","","4.6","","-2.6"," a","-0.8"," b"
"179","Congo (Democratic Republic of the)","0.5","","6.8","","-4.3","","-0.9","","-0.1","","0.0"," a","0.3"," b"
"68","Costa Rica","1.2","","4.2","","4.8","","2.0","","1.4","","0.8"," a","0.8"," b"
"46","Croatia","1.1","","-6.1","","-8.3","","-0.1","","-0.5","","-1.8"," a","-1.9"," b"
"72","Cuba","-1.4","","-2.2","","-2.4","","-2.6","","-4.3","","-1.4"," a","-1.3"," b"
"31","Cyprus","4.7"," e","10.7"," e","11.8"," e","11.7"," e","11.0"," e","4.0"," a,e","4.2"," b,e"
"26","Czechia","0.1","","0.6","","0.9","","0.9","","4.8","","1.1"," a","2.1"," b"
"165","Côte d'Ivoire","5.8","","5.7","","2.3","","-3.4","","-2.1","","-0.7"," a","-0.3"," b"
"11","Denmark","1.3","","2.5","","2.8","","1.7","","3.2","","3.8"," a","2.6"," b"
"171","Djibouti","35.4","","-14.7","","3.0","","-2.4","","-3.0","","1.4"," a","0.9"," b"
