"Current health expenditure (% of GDP)"
"HDI Rank (2018)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"170","Afghanistan","..","","9.9","","8.6","","8.6","","7.9","","8.8","","9.5","","10.1","","10.2",""
"69","Albania","6.8","","6.3","","5.0","","5.6","","5.8","","6.3","","6.9","","6.8","","6.7",""
"82","Algeria","3.5","","3.2","","5.1","","5.3","","6.0","","6.0","","6.5","","7.0","","6.6",""
"36","Andorra","9.3","","8.6","","9.4","","9.8","","10.0","","10.1","","10.3","","10.3","","10.4",""
"149","Angola","2.3","","3.7","","2.7","","2.8","","2.7","","3.0","","2.8","","3.0","","2.9",""
"74","Antigua and Barbuda","3.9","","4.5","","5.4","","5.7","","5.1","","5.4","","5.8","","4.7","","4.3",""
"48","Argentina","8.5","","7.6","","8.6","","8.4","","8.4","","8.4","","8.2","","8.7","","7.5",""
"81","Armenia","6.5","","7.0","","5.3","","3.8","","6.7","","8.3","","10.2","","10.1","","9.9",""
"6","Australia","7.6","","8.0","","8.4","","8.6","","8.7","","8.8","","9.1","","9.3","","9.3",""
"20","Austria","9.2","","9.6","","10.2","","10.0","","10.2","","10.3","","10.4","","10.3","","10.4",""
"87","Azerbaijan","3.8","","7.4","","4.9","","4.6","","5.0","","5.1","","5.6","","6.8","","6.9",""
"60","Bahamas","4.0","","4.6","","5.9","","6.0","","6.0","","6.0","","5.9","","6.0","","6.4",""
"45","Bahrain","3.6","","3.2","","3.8","","3.6","","4.1","","4.3","","4.4","","5.0","","4.9",""
"135","Bangladesh","2.0","","2.3","","2.5","","2.6","","2.6","","2.5","","2.5","","2.5","","2.4",""
"56","Barbados","5.2","","6.6","","6.8","","6.9","","7.7","","7.6","","7.1","","7.0","","7.0",""
"50","Belarus","5.5","","6.3","","5.7","","4.9","","5.2","","5.7","","5.4","","6.1","","6.3",""
"17","Belgium","7.9","","9.0","","9.8","","10.0","","10.1","","10.3","","10.3","","10.1","","10.0",""
"103","Belize","3.9","","4.2","","5.8","","5.6","","5.3","","5.7","","5.7","","5.9","","6.1",""
"163","Benin","4.2","","4.0","","4.1","","4.2","","4.7","","3.9","","3.6","","4.0","","3.9",""
"134","Bhutan","4.3","","4.0","","3.5","","3.3","","3.5","","3.6","","3.5","","3.7","","3.5",""
"114","Bolivia (Plurinational State of)","4.3","","5.0","","5.1","","5.1","","5.1","","5.5","","5.8","","6.4","","6.9",""
"75","Bosnia and Herzegovina","7.7","","9.1","","9.0","","9.2","","9.5","","9.5","","9.6","","9.3","","9.2",""
"94","Botswana","5.8","","5.3","","6.0","","6.3","","6.5","","5.4","","5.3","","6.0","","5.5",""
"79","Brazil","6.6","","8.3","","9.7","","9.8","","10.0","","10.2","","10.8","","11.5","","11.8",""
"43","Brunei Darussalam","2.5","","2.2","","2.3","","1.9","","1.9","","1.9","","1.9","","2.4","","2.3",""
