"International student mobility (% of total tertiary enrolment)"
"12","Finland","-1.6","","0.9","","2.2","","2.6","","3.1","","4.4","","4.5","","4.6","","4.4","","..",""
"26","France","4.3","","8.6","","9.0","","9.2","","9.0","","6.5","","6.4","","6.3","","6.2","","..",""
"70","Georgia","-3.6","","-3.3","","-7.0","","-6.0","","-8.3","","-3.3","","..","","-3.2","","-1.7","","-1.8",""
"4","Germany","..","","..","","..","","..","","..","","2.8","","3.2","","3.8","","4.1","","..",""
"142","Ghana","..","","..","","..","","-1.1","","0.1","","0.4","","1.3","","1.4","","0.8","","0.1",""
"32","Greece","..","","-3.4","","-0.3","","0.5","","-0.8","","-0.9","","..","","..","","-1.7","","..",""
"78","Grenada","..","","..","","..","","..","","..","","..","","..","","63.0","","63.7","","66.3",""
"174","Guinea","..","","..","","..","","-5.7","","-6.0","","..","","..","","..","","..","","..",""
"123","Guyana","..","","-14.6","","-9.5","","-18.9","","-16.6","","..","","..","","..","","..","","..",""
"132","Honduras","..","","..","","-1.1","","..","","-1.0","","-1.1","","-1.4","","-1.5","","..","","..",""
"4","Hong Kong, China (SAR)","..","","-19.7","","-8.5","","-4.9","","-3.6","","-1.8","","-1.3","","-1.4","","-1.7","","-1.0",""
"43","Hungary","1.3","","1.7","","2.0","","2.2","","2.5","","3.3","","4.1","","3.6","","4.9","","..",""
"6","Iceland","-20.2","","..","","-10.6","","-8.5","","-8.2","","-8.3","","-6.3","","..","","-7.5","","..",""
"129","India","-0.6","","-1.2","","..","","-0.7","","-0.6","","-0.6","","-0.6","","-0.7","","-0.8","","..",""
"111","Indonesia","..","","-0.8","","-0.6","","..","","-0.5","","..","","..","","..","","..","","-0.5",""
"65","Iran (Islamic Republic of)","..","","-1.0","","-1.1","","-1.1","","-1.1","","-1.0","","-0.8","","..","","-0.8","","..",""
"120","Iraq","1.2","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"3","Ireland","-6.3","","-3.3","","-3.4","","0.2","","-3.9","","-1.8","","-0.6","","0.3","","1.5","","..",""
"22","Israel","..","","..","","-3.0","","-2.8","","-2.8","","-1.0","","-1.0","","..","","..","","..",""
"29","Italy","-0.8","","0.7","","1.5","","1.5","","1.6","","1.8","","1.8","","1.6","","1.5","","..",""
"96","Jamaica","-11.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19","Japan","0.0","","1.5","","2.6","","3.0","","3.0","","2.7","","2.6","","2.6","","2.9","","..",""
"102","Jordan","0.4","","4.2","","5.0","","3.6","","3.6","","..","","..","","5.8","","7.1","","5.5",""
"50","Kazakhstan","-2.9","","..","","-3.6","","-4.0","","-4.1","","-5.8","","-7.7","","-10.4","","-12.5","","-12.1",""
"147","Kenya","..","","..","","..","","..","","..","","..","","..","","..","","-1.7","","..",""
"22","Korea (Republic of)","-2.2","","-2.6","","-2.0","","-1.9","","-1.8","","-1.7","","-1.7","","-1.6","","-1.3","","..",""
"122","Kyrgyzstan","..","","9.3","","4.4","","2.9","","1.6","","1.9","","1.4","","1.2","","1.4","","1.4",""
"140","Lao People's Democratic Republic","-8.3","","-4.7","","-2.7","","-2.7","","-3.0","","-3.3","","-2.1","","-2.5","","-4.7","","-4.0",""
"39","Latvia","3.5","","-1.2","","-2.9","","-3.9","","-3.8","","-3.0","","-1.7","","-0.6","","1.1","","..",""
"93","Lebanon","4.3","","0.7","","8.6","","9.3","","6.9","","..","","1.6","","3.0","","1.6","","1.6",""
"164","Lesotho","..","","..","","..","","..","","-10.8","","-11.6","","-12.0","","-12.4","","..","","..",""
"18","Liechtenstein","..","","..","","-48.3","","-20.9","","-17.9","","..","","-31.7","","-46.5","","-42.9","","..",""
"34","Lithuania","-2.8","","-2.6","","-2.8","","-3.8","","-5.0","","-5.1","","..","","-4.5","","-3.9","","..",""
"21","Luxembourg","..","","..","","-94.2","","..","","-85.9","","..","","..","","-100.1","","-100.3","","..",""
"162","Madagascar","..","","-6.5","","-4.0","","-3.9","","-3.6","","-2.6","","-2.0","","-1.9","","-2.0","","..",""
"172","Malawi","..","","..","","-20.0","","..","","..","","..","","..","","..","","..","","..",""
"61","Malaysia","-4.9","","..","","0.5","","0.4","","-0.3","","..","","3.3","","3.6","","4.4","","2.9",""
"184","Mali","-6.9","","..","","..","","-6.8","","-5.5","","-6.5","","-7.8","","-9.0","","..","","..",""
"28","Malta","-4.0","","-1.9","","..","","-6.6","","-6.3","","-10.1","","-3.9","","-2.7","","0.8","","..",""
"117","Marshall Islands","..","","..","","..","","..","","-17.4","","..","","..","","..","","..","","..",""
"161","Mauritania","..","","..","","..","","..","","..","","..","","..","","-20.7","","-20.8","","-22.5",""
"66","Mauritius","..","","..","","-19.9","","-17.3","","-13.7","","-12.1","","-12.0","","-13.1","","..","","-14.2",""
"76","Mexico","..","","..","","..","","..","","..","","-0.6","","..","","-0.6","","-0.5","","..",""
"107","Moldova (Republic of)","-7.3","","-5.9","","-10.4","","-12.5","","-12.1","","-13.5","","-16.1","","-15.5","","-16.0","","-17.1",""
"..","Monaco","..","","..","","..","","..","","..","","..","","..","","..","","..","","-43.5",""
"92","Mongolia","-2.6","","-2.8","","-5.3","","-5.5","","-5.4","","-4.5","","-4.8","","-4.7","","-5.3","","-5.4",""
"121","Morocco","-12.0","","-9.8","","-7.6","","..","","..","","-4.3","","-3.6","","-3.4","","-3.2","","-2.8",""
"180","Mozambique","..","","..","","..","","-1.5","","..","","-1.1","","-0.9","","..","","-1.0","","-1.0",""
"145","Myanmar","..","","..","","..","","-1.1","","-1.1","","..","","..","","..","","..","","..",""
"130","Namibia","..","","-41.4","","..","","..","","..","","..","","-0.2","","-1.0","","-1.8","","..",""
"147","Nepal","..","","..","","..","","-7.7","","..","","..","","..","","..","","..","","..",""
