"Infants lacking immunization, measles (% of one-year-olds)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","80","","59","","73","","50","","38","","36","","41","","43","","40","","37","","36","","36","","36",""
"69","Albania","12","","9","","5","","3","","1","","1","","2","","1","","2","","3","","4","","4","","6",""
"82","Algeria","17","","11","","20","","17","","5","","5","","5","","5","","5","","5","","6","","12","","20",""
"36","Andorra","..","","..","","3","","6","","1","","1","","2","","5","","4","","4","","3","","1","","1",""
"149","Angola","62","","54","","68","","79","","38","","43","","35","","41","","44","","49","","55","","58","","50",""
"74","Antigua and Barbuda","11","","7","","5","","1","","2","","1","","2","","4","","7","","9","","12","","1","","4",""
"48","Argentina","7","","1","","9","","2","","5","","5","","6","","6","","5","","11","","10","","11","","6",""
"81","Armenia","..","","4","","8","","6","","3","","3","","3","","3","","3","","3","","3","","4","","5",""
"6","Australia","14","","13","","9","","6","","6","","6","","6","","6","","6","","5","","5","","5","","5",""
"20","Austria","40","","40","","25","","25","","20","","16","","12","","8","","4","","4","","5","","4","","6",""
"87","Azerbaijan","..","","36","","33","","33","","11","","8","","6","","2","","2","","2","","2","","2","","4",""
"60","Bahamas","14","","10","","7","","15","","6","","10","","9","","8","","8","","6","","11","","10","","11",""
"45","Bahrain","13","","5","","2","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
"135","Bangladesh","35","","21","","26","","12","","12","","7","","12","","9","","6","","3","","3","","3","","3",""
"56","Barbados","13","","8","","6","","7","","15","","7","","10","","13","","5","","4","","8","","8","","15",""
"50","Belarus","..","","7","","2","","1","","1","","1","","2","","1","","1","","1","","2","","3","","3",""
"17","Belgium","15","","15","","18","","12","","5","","5","","4","","4","","4","","4","","4","","4","","4",""
"103","Belize","14","","17","","4","","5","","2","","2","","4","","1","","5","","4","","5","","10","","3",""
"163","Benin","21","","35","","30","","39","","32","","30","","26","","32","","35","","33","","32","","30","","29",""
"134","Bhutan","7","","15","","22","","7","","5","","5","","5","","6","","3","","3","","3","","3","","3",""
"114","Bolivia (Plurinational State of)","47","","42","","16","","11","","12","","4","","8","","13","","11","","5","","6","","17","","11",""
"75","Bosnia and Herzegovina","..","","47","","20","","10","","9","","11","","6","","8","","11","","17","","32","","31","","32",""
"94","Botswana","13","","11","","9","","7","","4","","3","","3","","3","","3","","3","","3","","3","","3",""
"79","Brazil","22","","13","","1","","2","","1","","1","","1","","2","","3","","4","","5","","9","","16",""
"43","Brunei Darussalam","1","","1","","1","","2","","6","","9","","5","","4","","3","","4","","2","","3","","1",""
"52","Bulgaria","1","","6","","11","","4","","3","","5","","6","","5","","7","","8","","8","","6","","7",""
"182","Burkina Faso","21","","57","","52","","16","","8","","11","","13","","18","","12","","12","","12","","12","","12",""
"185","Burundi","26","","20","","28","","13","","8","","7","","7","","2","","6","","7","","7","","10","","12",""
"126","Cabo Verde","21","","15","","14","","8","","3","","4","","9","","9","","7","","8","","7","","4","","1",""
"146","Cambodia","66","","38","","35","","21","","10","","12","","16","","21","","17","","16","","16","","16","","16",""
"150","Cameroon","44","","54","","51","","32","","21","","24","","18","","17","","20","","21","","22","","23","","29",""
"13","Canada","11","","4","","4","","6","","10","","12","","11","","10","","10","","11","","11","","10","","10",""
"188","Central African Republic","18","","54","","64","","38","","47","","51","","51","","75","","51","","51","","51","","51","","51",""
"187","Chad","68","","74","","72","","73","","54","","46","","37","","43","","55","","54","","63","","63","","63",""
"42","Chile","3","","3","","3","","10","","7","","9","","10","","10","","3","","4","","7","","7","","7",""
"85","China","2","","20","","16","","14","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
"79","Colombia","18","","5","","12","","4","","12","","12","","6","","8","","9","","6","","7","","7","","5",""
"156","Comoros","13","","31","","30","","33","","28","","21","","15","","15","","14","","10","","10","","10","","10",""
"138","Congo","25","","62","","66","","46","","25","","17","","20","","20","","20","","20","","33","","30","","25",""
"179","Congo (Democratic Republic of the)","62","","73","","54","","39","","26","","26","","28","","24","","23","","21","","23","","20","","20",""
"68","Costa Rica","10","","9","","18","","11","","17","","17","","10","","9","","5","","7","","7","","4","","6",""
"46","Croatia","..","","8","","7","","4","","4","","4","","5","","6","","6","","7","","10","","11","","7",""
"72","Cuba","6","","1","","6","","2","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
"31","Cyprus","23","","17","","14","","14","","13","","13","","14","","14","","14","","10","","10","","10","","10",""
"26","Czechia","..","","4","","3","","3","","2","","2","","2","","1","","1","","1","","2","","3","","4",""
"165","Côte d'Ivoire","44","","43","","32","","16","","30","","51","","26","","31","","41","","35","","29","","30","","29",""
"11","Denmark","16","","12","","1","","5","","15","","13","","10","","11","","10","","9","","6","","3","","5",""
"171","Djibouti","15","","59","","50","","35","","15","","16","","17","","20","","29","","26","","25","","19","","14",""
"98","Dominica","12","","1","","1","","2","","1","","1","","1","","7","","6","","4","","4","","23","","16",""
"89","Dominican Republic","30","","22","","15","","21","","15","","13","","12","","17","","12","","10","","15","","14","","5",""
"85","Ecuador","40","","19","","1","","7","","5","","6","","4","","3","","15","","16","","14","","19","","17",""
"116","Egypt","14","","11","","2","","2","","4","","4","","7","","4","","7","","8","","5","","6","","6",""
"124","El Salvador","2","","7","","3","","1","","8","","11","","7","","6","","5","","5","","10","","15","","19",""
"144","Equatorial Guinea","12","","19","","49","","49","","49","","49","","65","","58","","56","","73","","70","","70","","70",""
