"Domestic credit provided by financial sector (% of GDP)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","..","","..","","..","","..","","4.8","","-2.6","","-2.0","","-2.1","","-0.6","","-0.4","","-1.2","","-2.5","","-5.3",""
"69","Albania","..","","40.5","","51.1","","50.5","","67.5","","70.3","","70.2","","72.2","","73.2","","68.1","","66.4","","63.6","","58.8",""
"82","Algeria","78.4","","45.0","","28.3","","7.3","","-6.6","","-4.5","","-2.1","","3.0","","18.0","","40.0","","54.4","","67.9","","72.7",""
"149","Angola","..","","52.7","","-14.8","","1.9","","19.0","","15.5","","13.9","","17.1","","21.1","","27.0","","27.3","","29.7","","24.8",""
"74","Antigua and Barbuda","53.4","","59.2","","76.4","","75.5","","99.3","","99.3","","91.8","","90.6","","80.9","","64.9","","62.3","","60.2","","57.8",""
"48","Argentina","32.4","","27.9","","34.5","","34.9","","25.3","","26.5","","30.6","","33.2","","34.4","","40.4","","37.9","","38.9","","..",""
"81","Armenia","..","","9.1","","11.5","","8.8","","27.8","","36.4","","41.4","","43.1","","51.3","","48.3","","54.4","","58.3","","62.5",""
"6","Australia","70.4","","80.5","","93.4","","113.3","","153.8","","151.2","","149.9","","155.3","","164.4","","175.7","","182.5","","176.2","","176.8",""
"20","Austria","..","","..","","..","","126.0","","135.1","","132.1","","135.3","","130.4","","125.4","","123.5","","128.8","","125.1","","123.9",""
"87","Azerbaijan","..","","12.5","","9.6","","11.2","","23.0","","19.2","","24.4","","23.1","","27.3","","40.7","","28.1","","12.4","","13.2",""
"60","Bahamas","58.5","","74.8","","52.7","","59.5","","82.5","","83.6","","79.8","","83.1","","79.7","","74.9","","75.6","","85.5","","..",""
"45","Bahrain","-1.0","","28.4","","33.9","","41.8","","67.1","","72.2","","72.2","","79.2","","76.2","","90.9","","..","","..","","..",""
"135","Bangladesh","21.6","","26.7","","30.2","","47.7","","57.4","","61.3","","60.0","","57.9","","60.0","","60.2","","61.4","","63.7","","64.1",""
"56","Barbados","51.1","","54.5","","58.2","","92.2","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","15.0","","19.2","","21.8","","42.6","","30.8","","31.0","","37.9","","41.3","","49.8","","47.0","","41.7","","40.7",""
"17","Belgium","..","","..","","..","","100.8","","113.7","","114.0","","113.2","","112.1","","154.5","","147.7","","153.0","","135.0","","136.8",""
"103","Belize","26.8","","43.7","","43.5","","61.5","","69.6","","65.1","","63.6","","58.9","","57.9","","66.6","","70.7","","71.0","","71.4",""
"163","Benin","21.1","","10.9","","7.4","","10.1","","18.6","","21.8","","20.0","","21.0","","22.8","","22.9","","26.4","","28.4","","27.0",""
"134","Bhutan","-1.0","","9.9","","2.9","","21.8","","45.6","","50.5","","52.5","","49.8","","46.9","","51.8","","53.3","","59.6","","64.0",""
"114","Bolivia (Plurinational State of)","23.0","","48.7","","62.0","","71.3","","49.4","","48.5","","48.7","","50.1","","55.2","","67.1","","76.3","","78.5","","83.6",""
"75","Bosnia and Herzegovina","..","","..","","37.4","","38.9","","61.4","","62.4","","64.8","","65.1","","65.2","","63.9","","62.8","","62.4","","62.0",""
"94","Botswana","-45.6","","-35.8","","-65.7","","-5.5","","10.9","","8.0","","15.0","","12.9","","8.3","","12.4","","16.1","","17.1","","19.8",""
"79","Brazil","87.6","","56.1","","70.7","","76.2","","93.4","","95.2","","101.1","","100.0","","103.4","","107.1","","111.2","","111.4","","113.7",""
"43","Brunei Darussalam","..","","..","","38.6","","10.4","","22.7","","7.2","","12.0","","18.4","","25.5","","40.0","","35.5","","28.6","","28.4",""
"52","Bulgaria","..","","47.8","","17.1","","39.3","","67.0","","66.7","","67.3","","69.8","","62.4","","60.3","","54.3","","54.0","","54.3",""
"182","Burkina Faso","12.2","","5.6","","14.3","","16.5","","18.4","","18.6","","20.4","","26.0","","30.7","","33.1","","32.0","","34.1","","34.0",""
"185","Burundi","16.8","","16.0","","21.6","","23.4","","26.6","","29.6","","28.8","","27.2","","29.4","","30.5","","35.7","","36.2","","43.0",""
"126","Cabo Verde","41.6","","59.4","","64.7","","72.3","","76.1","","82.1","","83.2","","84.1","","85.2","","84.5","","83.7","","85.8","","82.6",""
