"Concentration index (exports) (value)"
"HDI Rank (2018)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"185","Burundi","0.584","","0.519","","0.485","","0.642","","0.551","","0.493","","0.453","","0.411",""
"126","Cabo Verde","0.322","","0.346","","0.290","","0.332","","0.365","","0.472","","0.382","","0.306",""
"146","Cambodia","0.335","","0.332","","0.300","","0.323","","0.326","","0.310","","0.292","","0.300",""
"150","Cameroon","0.362","","0.336","","0.392","","0.406","","0.432","","0.367","","0.295","","0.348",""
"13","Canada","0.138","","0.151","","0.165","","0.170","","0.178","","0.140","","0.138","","0.143",""
"188","Central African Republic","0.359","","0.382","","0.387","","0.399","","0.490","","0.358","","0.383","","0.321",""
"187","Chad","0.852","","0.891","","0.801","","0.900","","0.853","","0.856","","0.746","","0.805",""
"42","Chile","0.397","","0.379","","0.363","","0.343","","0.329","","0.319","","0.306","","0.331",""
"85","China","0.107","","0.099","","0.102","","0.103","","0.101","","0.104","","0.105","","0.096",""
"79","Colombia","0.341","","0.405","","0.435","","0.458","","0.459","","0.354","","0.281","","0.319",""
"156","Comoros","0.525","","0.640","","0.627","","0.609","","0.677","","0.697","","0.674","","0.625",""
"138","Congo","0.740","","0.766","","0.795","","0.703","","0.668","","0.547","","0.539","","0.537",""
"179","Congo (Democratic Republic of the)","0.371","","0.375","","0.479","","0.440","","0.466","","0.489","","0.517","","0.370",""
"68","Costa Rica","0.354","","0.421","","0.455","","0.467","","0.436","","0.228","","0.259","","0.263",""
"46","Croatia","0.126","","0.120","","0.104","","0.085","","0.078","","0.069","","0.066","","0.073",""
"72","Cuba","0.235","","0.224","","0.221","","0.210","","0.216","","0.237","","0.255","","0.260",""
"31","Cyprus","0.183","","0.202","","0.179","","0.184","","0.186","","0.215","","0.234","","0.298",""
"26","Czechia","0.105","","0.106","","0.107","","0.106","","0.113","","0.118","","0.124","","0.126",""
"165","Côte d'Ivoire","0.369","","0.347","","0.338","","0.309","","0.357","","0.418","","0.415","","0.384",""
"11","Denmark","0.083","","0.084","","0.092","","0.094","","0.091","","0.095","","0.094","","0.096",""
"171","Djibouti","0.381","","0.298","","0.253","","0.240","","0.256","","0.191","","0.176","","0.188",""
"98","Dominica","0.407","","0.380","","0.435","","0.410","","0.404","","0.407","","0.411","","0.410",""
"89","Dominican Republic","0.145","","0.132","","0.136","","0.170","","0.191","","0.190","","0.217","","0.199",""
"85","Ecuador","0.501","","0.515","","0.518","","0.525","","0.500","","0.372","","0.348","","0.368",""
"116","Egypt","0.151","","0.170","","0.175","","0.160","","0.163","","0.142","","0.153","","0.142",""
"124","El Salvador","0.216","","0.197","","0.194","","0.202","","0.209","","0.208","","0.215","","0.205",""
"144","Equatorial Guinea","0.738","","0.715","","0.735","","0.671","","0.696","","0.681","","0.678","","0.648",""
"182","Eritrea","0.138","","0.593","","0.600","","0.431","","0.537","","0.528","","0.309","","0.411",""
"30","Estonia","0.120","","0.145","","0.137","","0.107","","0.118","","0.116","","0.108","","0.089",""
"138","Eswatini (Kingdom of)","0.249","","0.215","","0.213","","0.302","","0.297","","0.326","","0.352","","0.314",""
"173","Ethiopia","0.365","","0.373","","0.353","","0.306","","0.303","","0.301","","0.317","","0.298",""
"98","Fiji","0.211","","0.282","","0.271","","0.184","","0.256","","0.209","","0.201","","0.215",""
"12","Finland","0.134","","0.134","","0.139","","0.145","","0.142","","0.141","","0.143","","0.138",""
"26","France","0.088","","0.083","","0.091","","0.091","","0.092","","0.098","","0.098","","0.092",""
"115","Gabon","0.817","","0.807","","0.765","","0.787","","0.672","","0.677","","0.501","","0.500",""
