"Employment in services (% of total employment)"
"HDI Rank (2018)","Country","1991","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","28.1","","26.3","","22.9","","26.8","","36.1","","39.7","","44.0","","44.2","","43.9","","43.7","","43.8","","43.8","","43.8"," a"
"69","Albania","33.9","","34.9","","35.9","","37.0","","37.3","","35.8","","36.7","","38.9","","39.6","","40.0","","41.2","","42.4","","42.7"," a"
"82","Algeria","50.7","","51.9","","52.9","","55.0","","57.9","","58.4","","58.8","","59.3","","59.7","","60.2","","60.5","","59.9","","60.0"," a"
"149","Angola","51.2","","50.7","","52.1","","52.7","","43.1","","40.8","","41.0","","41.5","","42.0","","42.4","","42.3","","42.5","","42.7"," a"
"48","Argentina","66.8","","72.3","","76.6","","75.5","","75.4","","75.4","","75.7","","75.4","","75.3","","76.2","","76.9","","77.5","","77.5"," a"
"81","Armenia","42.5","","42.6","","43.7","","44.2","","44.0","","44.4","","45.0","","46.7","","48.5","","48.8","","50.6","","50.8","","51.0"," a"
"6","Australia","70.7","","72.2","","73.5","","75.3","","75.8","","76.4","","76.5","","76.9","","76.2","","77.2","","77.3","","78.0","","78.1"," a"
"20","Austria","59.6","","60.6","","63.9","","67.2","","69.9","","69.0","","69.3","","69.5","","69.4","","69.7","","70.1","","71.2","","71.4"," a"
"87","Azerbaijan","45.1","","46.2","","48.1","","48.6","","48.1","","48.0","","48.1","","48.5","","49.0","","49.6","","49.3","","49.3","","49.5"," a"
"60","Bahamas","79.4","","81.4","","78.9","","78.7","","81.0","","81.0","","80.9","","81.1","","81.0","","81.3","","81.3","","81.3","","81.3"," a"
"45","Bahrain","69.0","","69.4","","70.1","","67.7","","63.2","","63.3","","63.6","","63.8","","63.9","","63.8","","63.6","","63.7","","63.7"," a"
"135","Bangladesh","16.9","","23.6","","24.5","","34.7","","35.1","","35.4","","35.7","","35.9","","36.3","","36.6","","36.9","","39.0","","39.4"," a"
"56","Barbados","73.7","","74.3","","76.1","","76.8","","77.5","","77.2","","77.6","","77.8","","77.8","","77.8","","77.8","","77.9","","78.0"," a"
"50","Belarus","55.8","","56.8","","57.4","","58.0","","58.4","","58.7","","58.8","","58.8","","58.9","","59.2","","58.8","","58.5","","58.7"," a"
"17","Belgium","66.2","","69.1","","72.3","","73.3","","75.3","","75.5","","77.1","","76.9","","77.4","","77.4","","77.5","","78.1","","78.2"," a"
"103","Belize","55.4","","55.0","","56.8","","62.6","","64.6","","65.0","","65.5","","65.8","","66.8","","67.9","","69.8","","67.6","","67.8"," a"
"163","Benin","37.0","","34.9","","35.3","","35.6","","37.6","","37.8","","38.3","","38.8","","39.0","","38.7","","38.8","","39.0","","39.2"," a"
"134","Bhutan","25.2","","26.1","","27.7","","29.4","","33.8","","30.7","","31.7","","32.7","","32.5","","32.4","","32.7","","33.0","","33.5"," a"
"114","Bolivia (Plurinational State of)","40.0","","40.5","","42.4","","43.5","","49.3","","49.3","","51.6","","50.9","","48.5","","49.6","","49.8","","50.2","","50.2"," a"
"75","Bosnia and Herzegovina","45.1","","46.5","","49.7","","51.0","","52.1","","52.3","","52.5","","52.7","","52.9","","53.1","","53.3","","53.5","","53.7"," a"
"94","Botswana","57.3","","58.6","","58.9","","56.1","","56.9","","57.1","","57.6","","57.9","","58.1","","58.4","","58.6","","58.8","","59.0"," a"
"79","Brazil","55.1","","56.2","","58.7","","58.5","","61.9","","62.8","","65.5","","65.9","","66.8","","67.6","","69.0","","70.0","","70.2"," a"
"43","Brunei Darussalam","73.8","","74.6","","76.9","","78.5","","80.0","","80.0","","80.2","","80.5","","80.8","","81.5","","82.2","","82.5","","82.6"," a"
"52","Bulgaria","39.3","","45.8","","54.0","","56.8","","60.2","","61.8","","62.2","","63.2","","62.9","","63.3","","63.5","","63.1","","63.3"," a"
"182","Burkina Faso","7.9","","8.1","","13.4","","21.0","","31.2","","32.5","","34.6","","36.8","","38.1","","38.4","","38.1","","38.2","","38.3"," a"
"185","Burundi","5.8","","5.6","","5.7","","5.7","","6.0","","6.1","","6.1","","6.0","","6.2","","6.1","","6.1","","6.0","","6.0"," a"
"126","Cabo Verde","55.3","","58.1","","60.4","","61.7","","62.7","","62.9","","63.8","","63.9","","63.8","","64.0","","64.3","","64.5","","64.6"," a"
"146","Cambodia","16.2","","16.3","","17.9","","26.9","","37.5","","39.5","","41.5","","41.8","","42.1","","42.2","","42.2","","42.4","","42.7"," a"
"150","Cameroon","23.2","","22.9","","23.7","","27.4","","32.9","","34.3","","35.5","","36.9","","38.3","","38.8","","39.1","","39.3","","39.6"," a"
"13","Canada","72.6","","73.9","","74.2","","75.2","","78.0","","77.9","","77.8","","77.9","","78.1","","78.4","","78.4","","79.0","","79.0"," a"
"188","Central African Republic","19.3","","19.2","","19.5","","18.6","","18.6","","18.5","","18.7","","17.0","","17.5","","17.7","","17.8","","17.9","","18.0"," a"
"187","Chad","14.8","","14.5","","13.9","","15.3","","14.4","","15.2","","15.1","","15.6","","15.9","","15.9","","15.5","","15.3","","15.3"," a"
"42","Chile","54.6","","58.2","","62.2","","63.9","","66.4","","66.4","","66.2","","66.7","","67.1","","67.3","","67.5","","68.0","","68.1"," a"
