"Female share of employment in senior and middle management (%)"
"HDI Rank (2018)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","4.3","","..",""
"69","Albania","..","","..","","16.3","","..","","14.7","","29.3","","..","","..","","..","","..","","..",""
"48","Argentina","..","","26.3","","32.1","","30.2","","32.3","","36.5","","38.6","","..","","..","","32.6","","..",""
"20","Austria","28.1","","21.5","","25.4","","26.1","","27.1","","26.3","","27.9","","27.9","","29.5","","29.2","","28.9",""
"135","Bangladesh","..","","..","","10.0","","..","","..","","..","","..","","..","","..","","11.5","","..",""
"17","Belgium","24.5","","30.2","","34.8","","30.5","","31.7","","30.8","","31.3","","31.0","","32.0","","32.9","","33.5",""
"103","Belize","..","","..","","..","","..","","..","","..","","..","","39.1","","41.7","","..","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","..","","..","","..","","30.0","","26.8","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","22.6","","23.0","","..","","24.2","","..","","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..","","..","","..","","..","","32.5","","..","","..","","37.0","","..",""
"52","Bulgaria","37.5","","40.6","","38.6","","37.0","","35.5","","36.0","","35.4","","37.4","","39.3","","39.3","","39.3",""
"42","Chile","35.5","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"179","Congo (Democratic Republic of the)","..","","5.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"46","Croatia","..","","28.2","","27.4","","23.6","","25.8","","23.9","","24.4","","26.1","","29.5","","27.9","","26.1",""
"31","Cyprus","18.5","","17.1","","14.3","","14.7","","16.4","","18.7","","18.1","","25.2","","27.0","","22.4","","..",""
"26","Czechia","26.8","","31.6","","27.8","","24.0","","23.1","","24.5","","26.6","","27.8","","23.1","","24.1","","26.6",""
"11","Denmark","19.7","","21.4","","19.5","","28.6","","28.8","","27.5","","26.2","","26.9","","28.6","","27.6","","27.0",""
"85","Ecuador","..","","33.7","","33.6","","43.9","","43.2","","35.6","","35.6","","33.3","","34.0","","35.2","","35.3",""
"124","El Salvador","..","","..","","37.6","","42.9","","55.8","","42.7","","35.6","","40.7","","34.1","","32.7","","..",""
"30","Estonia","34.8","","41.0","","38.4","","34.6","","31.6","","32.8","","30.8","","27.8","","31.6","","34.3","","33.2",""
"138","Eswatini (Kingdom of)","..","","..","","..","","..","","..","","..","","..","","..","","54.6","","..","","..",""
"173","Ethiopia","..","","15.1","","..","","..","","..","","21.1","","..","","..","","..","","..","","..",""
"98","Fiji","..","","..","","..","","30.7","","..","","..","","..","","..","","38.6","","..","","..",""
"12","Finland","27.6","","32.7","","34.3","","31.1","","29.7","","29.5","","34.3","","33.5","","34.1","","31.5","","32.0",""
"26","France","31.7","","36.3","","38.5","","39.1","","39.2","","35.6","","32.0","","30.9","","31.1","","32.5","","34.5",""
"174","Gambia","..","","..","","..","","..","","33.7","","..","","..","","..","","..","","..","","..",""
"4","Germany","20.7","","23.6","","27.5","","27.9","","27.1","","27.5","","27.8","","28.1","","28.1","","28.2","","28.6",""
"32","Greece","19.9","","23.7","","26.9","","22.0","","22.2","","25.8","","27.8","","24.7","","24.7","","29.7","","30.5",""
"126","Guatemala","..","","..","","33.2","","60.9","","35.6","","29.4","","35.4","","34.6","","39.2","","34.5","","..",""
"123","Guyana","..","","..","","..","","..","","..","","..","","..","","..","","..","","35.4","","..",""
"132","Honduras","..","","33.2","","35.5","","31.6","","35.8","","36.2","","42.3","","42.4","","41.1","","41.0","","..",""
"43","Hungary","34.2","","39.4","","40.0","","38.2","","36.3","","38.3","","37.6","","39.1","","37.7","","37.6","","37.1",""
"6","Iceland","30.4","","30.0","","37.1","","39.1","","38.2","","37.9","","38.2","","39.5","","34.8","","33.0","","43.1",""
"129","India","..","","..","","12.3","","..","","13.0","","..","","..","","..","","..","","..","","..",""
"111","Indonesia","..","","..","","19.4","","..","","..","","..","","..","","..","","..","","..","","..",""
"3","Ireland","35.2","","43.6","","40.7","","30.4","","30.6","","30.5","","31.6","","30.9","","32.4","","31.9","","33.5",""
"29","Italy","..","","19.7","","21.2","","21.6","","22.2","","22.0","","21.9","","21.8","","22.0","","22.3","","23.2",""
"140","Lao People's Democratic Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","23.4","","..",""
"39","Latvia","37.1","","42.0","","39.1","","44.3","","44.6","","42.2","","42.1","","44.3","","46.3","","44.1","","43.2",""
"176","Liberia","..","","..","","20.1","","..","","..","","..","","..","","..","","..","","..","","..",""
"34","Lithuania","42.5","","45.0","","42.0","","36.5","","35.3","","36.5","","35.4","","38.1","","38.8","","37.9","","38.2",""
"21","Luxembourg","24.1","","9.4","","19.6","","18.3","","17.0","","14.6","","17.9","","14.0","","14.9","","16.1","","..",""
"162","Madagascar","..","","..","","..","","..","","24.5","","..","","..","","..","","..","","..","","..",""
"104","Maldives","..","","..","","..","","..","","..","","..","","..","","..","","19.5","","..","","..",""
"28","Malta","17.5","","19.8","","23.7","","24.8","","27.4","","28.6","","25.3","","25.5","","28.3","","28.1","","27.6",""
"66","Mauritius","..","","..","","..","","21.3","","23.1","","28.9","","27.3","","27.8","","29.5","","30.8","","..",""
"76","Mexico","..","","..","","..","","..","","..","","34.9","","35.3","","34.8","","35.2","","36.4","","35.6",""
"135","Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","18.2","","..","","..","","..","","..",""
"92","Mongolia","..","","..","","37.9","","37.9","","38.7","","37.3","","34.2","","37.8","","36.7","","40.0","","..",""
"52","Montenegro","..","","..","","..","","36.1","","24.8","","22.7","","24.6","","17.6","","24.9","","25.4","","23.8",""
"180","Mozambique","..","","..","","..","","..","","..","","..","","..","","22.2","","..","","..","","..",""
"145","Myanmar","..","","..","","..","","..","","..","","..","","..","","28.3","","..","","31.5","","..",""
"130","Namibia","..","","..","","..","","..","","25.6","","48.5","","46.7","","..","","48.6","","..","","48.2",""
"147","Nepal","..","","..","","..","","..","","..","","..","","..","","..","","..","","13.9","","..",""
"10","Netherlands","21.5","","22.3","","26.9","","27.9","","28.3","","23.1","","24.1","","24.5","","24.4","","26.0","","24.8",""
"158","Nigeria","..","","..","","..","","28.9","","..","","..","","..","","..","","..","","..","","..",""
"82","North Macedonia","..","","..","","30.7","","26.3","","23.3","","24.7","","26.0","","23.0","","27.3","","22.5","","28.2",""
"1","Norway","24.7","","31.0","","35.0","","31.2","","31.2","","31.4","","33.3","","33.7","","35.4","","36.0","","33.5",""
"152","Pakistan","..","","..","","6.4","","5.8","","..","","4.2","","..","","..","","..","","..","","..",""
"55","Palau","..","","..","","..","","..","","..","","..","","35.5","","..","","..","","..","","..",""
"119","Palestine, State of","23.1","","22.0","","21.7","","21.5","","15.5","","..","","..","","..","","..","","..","","17.8",""
