"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","24.5","","..","","..",""
"69","Albania","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","15.1",""
"82","Algeria","..","","..","","..","","..","","..","","..","","..","","7.0","","..","","..","","..","","..","","..",""
"149","Angola","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","38.0","","..","","..",""
"81","Armenia","..","","..","","18.1","","19.3","","13.5","","..","","..","","..","","..","","..","","12.5","","..","","..",""
"135","Bangladesh","..","","..","","18.2","","..","","..","","13.5","","..","","13.9","","12.0","","..","","..","","..","","..",""
"56","Barbados","..","","..","","..","","..","","..","","..","","19.9","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","..","","..","","..","","..","","..","","7.0","","..","","..","","..","","..","","..","","..",""
"103","Belize","..","","..","","..","","..","","..","","15.9","","..","","..","","..","","..","","22.2","","..","","..",""
"163","Benin","..","","..","","..","","..","","..","","..","","32.6","","..","","33.1","","..","","..","","..","","32.3",""
"134","Bhutan","..","","..","","..","","..","","11.7","","..","","..","","..","","..","","..","","..","","..","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","23.2","","..","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","..","","..","","..","","9.0","","..","","..","","..","","..","","..","","..",""
"182","Burkina Faso","..","","..","","..","","..","","..","","24.5","","..","","..","","38.1","","..","","29.3","","29.1","","22.8",""
"185","Burundi","..","","..","","..","","..","","..","","32.4","","..","","..","","..","","..","","..","","29.7","","..",""
"126","Cabo Verde","..","","..","","..","","16.7","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"146","Cambodia","..","","..","","33.0","","..","","..","","16.9","","..","","..","","12.5","","..","","..","","..","","..",""
"150","Cameroon","..","","..","","..","","..","","..","","23.5","","..","","..","","18.0","","..","","..","","..","","..",""
"188","Central African Republic","..","","19.1","","..","","..","","..","","27.0","","..","","..","","..","","..","","..","","..","","..",""
"187","Chad","..","","..","","..","","..","","28.3","","..","","..","","..","","..","","22.9","","..","","..","","..",""
"79","Colombia","13.7","","11.4","","10.0","","8.6","","8.0","","..","","..","","..","","..","","..","","6.7","","..","","..",""
"156","Comoros","..","","..","","..","","..","","..","","..","","31.6","","..","","..","","..","","..","","..","","..",""
"138","Congo","..","","..","","..","","19.5","","..","","..","","18.2","","..","","..","","17.9","","..","","..","","..",""
"179","Congo (Democratic Republic of the)","..","","..","","..","","..","","24.2","","..","","..","","..","","27.7","","..","","..","","..","","..",""
"68","Costa Rica","..","","..","","..","","..","","11.7","","7.6","","..","","..","","..","","..","","..","","..","","..",""
"72","Cuba","..","","..","","..","","..","","..","","9.1","","..","","..","","8.0","","..","","..","","..","","..",""
"26","Czechia","..","","..","","..","","8.1","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"165","Côte d'Ivoire","..","","..","","..","","..","","..","","..","","22.2","","..","","..","","..","","30.5","","32.9","","26.5",""
"89","Dominican Republic","..","","..","","..","","..","","..","","..","","..","","10.8","","11.4","","..","","..","","..","","..",""
"85","Ecuador","..","","..","","..","","..","","..","","..","","8.8","","..","","..","","..","","..","","..","","..",""
"116","Egypt","..","","..","","13.7","","12.3","","..","","..","","..","","..","","12.6","","..","","..","","..","","..",""
"124","El Salvador","..","","..","","..","","..","","..","","..","","..","","..","","11.1","","..","","..","","..","","..",""
"144","Equatorial Guinea","..","","..","","..","","..","","..","","33.8","","..","","..","","..","","..","","..","","..","","..",""
"182","Eritrea","..","","..","","..","","..","","27.4","","..","","..","","..","","..","","..","","..","","..","","..",""
"138","Eswatini (Kingdom of)","..","","..","","..","","..","","13.0","","..","","..","","..","","15.2","","..","","..","","..","","..",""
