" Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%) "
"HDI Rank (2018)","Country","1998","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"69","Albania","..","","67.6","","..","","..","","51.9","","..","","..","","..","","46.9","","51.3","","50.6","","..",""
"82","Algeria","..","","..","","..","","50.9","","50.8","","..","","..","","..","","46.4","","44.5","","..","","..",""
"149","Angola","..","","..","","..","","..","","..","","..","","..","","..","","61.6","","..","","..","","..",""
"74","Antigua and Barbuda","..","","..","","..","","29.4","","25.0","","66.7","","..","","..","","..","","..","","..","","..",""
"48","Argentina","..","","..","","..","","56.5","","..","","..","","..","","..","","..","","53.5","","..","","..",""
"81","Armenia","..","","..","","..","","62.0","","..","","..","","..","","..","","57.2","","63.2","","67.2","","..",""
"6","Australia","..","","66.2","","67.8","","..","","69.8","","..","","69.3","","69.0","","68.3","","..","","..","","..",""
"20","Austria","..","","..","","..","","..","","..","","..","","74.3","","73.9","","74.7","","74.1","","..","","..",""
"87","Azerbaijan","..","","..","","..","","57.2","","56.5","","57.9","","..","","..","","66.6","","65.2","","59.9","","..",""
"45","Bahrain","..","","..","","46.2","","..","","..","","..","","..","","..","","57.7","","54.3","","55.7","","..",""
"135","Bangladesh","..","","..","","..","","..","","..","","..","","..","","..","","..","","80.2","","80.2","","..",""
"56","Barbados","..","","..","","..","","..","","59.5","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","..","","..","","..","","..","","..","","..","","..","","73.7","","73.0","","73.3","","..",""
"17","Belgium","..","","74.6","","..","","75.9","","75.1","","75.6","","75.2","","73.7","","73.4","","72.5","","..","","..",""
"103","Belize","..","","..","","..","","..","","..","","..","","..","","..","","58.2","","..","","..","","..",""
"163","Benin","..","","..","","..","","..","","80.2","","..","","..","","81.0","","45.1","","..","","..","","..",""
"75","Bosnia and Herzegovina","..","","..","","..","","..","","..","","..","","..","","..","","57.4","","56.1","","57.1","","..",""
"79","Brazil","..","","..","","64.7","","69.4","","68.4","","67.7","","..","","65.1","","65.6","","64.8","","63.4","","..",""
"43","Brunei Darussalam","..","","51.2","","55.8","","58.3","","49.5","","50.6","","..","","..","","50.8","","48.1","","..","","..",""
"52","Bulgaria","..","","52.8","","57.7","","59.6","","59.4","","60.6","","60.1","","61.2","","62.5","","61.7","","..","","..",""
"182","Burkina Faso","..","","..","","..","","..","","84.5","","81.1","","..","","79.8","","88.1","","84.0","","84.9","","..",""
"185","Burundi","..","","..","","..","","59.3","","..","","..","","..","","..","","..","","80.8","","81.8","","..",""
"126","Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","..","","61.4","","69.4","","..",""
"146","Cambodia","..","","75.0","","..","","..","","..","","..","","..","","..","","83.3","","..","","..","","..",""
"13","Canada","69.4","","..","","..","","..","","..","","..","","67.1","","68.1","","68.3","","68.6","","..","","..",""
"187","Chad","..","","95.9","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
