"Proportion of informal employment in non-agriculture employment (% of total employment in non-agriculture)"
"HDI Rank (2018)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"69","Albania","..","","..","","..","","..","","40.2","","33.1","","..","","..","","..","","..","","..",""
"149","Angola","..","","..","","..","","68.1","","..","","..","","..","","..","","..","","..","","..",""
"48","Argentina","..","","57.8","","48.2","","47.6","","47.7","","47.3","","46.8","","..","","..","","47.9","","..",""
"135","Bangladesh","..","","..","","82.2","","..","","..","","82.4","","..","","..","","..","","91.3","","..",""
"163","Benin","..","","..","","..","","94.5","","..","","..","","..","","..","","..","","..","","..",""
"75","Bosnia and Herzegovina","..","","..","","18.3","","16.6","","19.2","","..","","17.1","","..","","..","","..","","..",""
"79","Brazil","..","","..","","..","","38.5","","38.2","","37.1","","37.8","","38.3","","..","","..","","..",""
"43","Brunei Darussalam","..","","..","","..","","..","","..","","..","","33.0","","..","","..","","32.4","","..",""
"185","Burundi","..","","..","","..","","..","","..","","..","","89.4","","..","","..","","..","","..",""
"126","Cabo Verde","..","","..","","..","","..","","..","","..","","..","","57.8","","..","","..","","..",""
"146","Cambodia","..","","..","","..","","..","","90.6","","..","","..","","..","","..","","..","","..",""
"150","Cameroon","..","","..","","..","","..","","..","","..","","82.4","","..","","..","","..","","..",""
"42","Chile","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","27.7",""
"79","Colombia","..","","..","","62.3","","61.6","","61.1","","59.4","","57.7","","57.5","","56.6","","55.8","","56.3",""
"179","Congo (Democratic Republic of the)","..","","96.3","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"165","Côte d'Ivoire","..","","..","","..","","..","","92.2","","96.2","","..","","..","","87.7","","..","","..",""
"85","Ecuador","..","","75.7","","68.1","","64.7","","63.0","","61.6","","60.2","","60.7","","63.4","","64.9","","64.8",""
"116","Egypt","..","","..","","43.1","","43.8","","41.6","","42.9","","..","","47.2","","50.5","","52.9","","..",""
"124","El Salvador","..","","..","","65.8","","65.7","","66.0","","65.2","","62.9","","62.9","","63.2","","64.2","","..",""
"138","Eswatini (Kingdom of)","..","","..","","..","","..","","..","","..","","..","","..","","53.4","","..","","..",""
"174","Gambia","..","","..","","..","","..","","68.2","","..","","..","","..","","..","","..","","..",""
"123","Guyana","..","","..","","..","","..","","..","","..","","..","","..","","..","","53.7","","..",""
"169","Haiti","..","","..","","..","","..","","88.1","","..","","..","","..","","..","","..","","..",""
"132","Honduras","..","","..","","71.3","","73.1","","75.2","","75.3","","73.3","","74.2","","73.8","","71.3","","..",""
"129","India","..","","..","","75.3","","..","","74.8","","..","","..","","..","","..","","..","","..",""
"111","Indonesia","..","","..","","..","","..","","..","","..","","..","","..","","78.5","","78.5","","..",""
"122","Kyrgyzstan","..","","..","","..","","..","","..","","60.7","","..","","..","","..","","..","","..",""
"140","Lao People's Democratic Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","75.5","","..",""
"162","Madagascar","..","","..","","..","","..","","..","","..","","..","","83.9","","..","","..","","..",""
"172","Malawi","..","","..","","..","","..","","95.5","","..","","..","","..","","..","","..","","..",""
"104","Maldives","..","","..","","..","","..","","..","","..","","..","","..","","47.0","","..","","..",""
"184","Mali","..","","..","","..","","..","","..","","..","","89.9","","91.2","","90.5","","..","","..",""
"66","Mauritius","..","","..","","..","","..","","49.7","","51.5","","54.7","","53.3","","52.9","","52.2","","..",""
"92","Mongolia","..","","..","","29.4","","35.7","","37.0","","38.3","","31.2","","31.0","","30.1","","32.5","","..",""
"180","Mozambique","..","","..","","..","","..","","..","","..","","..","","86.7","","..","","..","","..",""
"145","Myanmar","..","","..","","..","","..","","..","","..","","..","","80.7","","..","","78.1","","..",""
"130","Namibia","..","","..","","..","","..","","41.5","","46.3","","44.0","","..","","61.1","","..","","47.0",""
"147","Nepal","..","","..","","..","","..","","..","","..","","..","","..","","..","","77.6","","..",""
"126","Nicaragua","..","","..","","..","","..","","74.9","","..","","..","","..","","..","","..","","..",""
"189","Niger","..","","..","","..","","86.4","","..","","..","","..","","..","","..","","..","","..",""
"82","North Macedonia","..","","..","","..","","..","","19.9","","..","","40.8","","..","","..","","..","","..",""
"152","Pakistan","..","","..","","67.6","","69.2","","..","","69.0","","72.0","","71.2","","..","","..","","71.2",""
"119","Palestine, State of","..","","..","","51.4","","51.5","","50.7","","51.9","","50.6","","52.0","","51.1","","51.9","","50.8",""
"67","Panama","..","","..","","..","","38.9","","39.0","","39.9","","40.9","","41.2","","41.2","","42.7","","..",""
"82","Peru","..","","76.9","","69.9","","68.5","","62.1","","61.1","","59.6","","60.1","","58.4","","59.0","","..",""
"157","Rwanda","..","","..","","..","","..","","..","","..","","..","","..","","..","","68.2","","..",""
"111","Samoa","..","","..","","..","","..","","50.2","","..","","..","","..","","..","","21.3","","..",""
"166","Senegal","..","","..","","..","","..","","..","","..","","..","","90.4","","..","","..","","..",""
"63","Serbia","..","","..","","8.3","","8.4","","7.7","","10.0","","13.1","","13.6","","16.2","","16.1","","14.0",""
"113","South Africa","53.8","","50.9","","33.9","","32.7","","31.7","","32.4","","32.3","","34.6","","34.3","","34.6","","35.2",""
"71","Sri Lanka","..","","..","","63.5","","63.7","","..","","66.7","","65.5","","65.4","","65.9","","..","","..",""
"168","Sudan","..","","..","","..","","77.3","","..","","..","","..","","..","","..","","..","","..",""
"159","Tanzania (United Republic of)","..","","..","","..","","..","","..","","..","","71.8","","..","","..","","..","","..",""
"131","Timor-Leste","..","","..","","62.3","","..","","..","","53.7","","..","","..","","..","","..","","..",""
"167","Togo","..","","..","","..","","..","","..","","..","","91.8","","..","","..","","..","","..",""
"159","Uganda","..","","..","","..","","..","","83.2","","..","","..","","..","","..","","..","","..",""
"57","Uruguay","..","","..","","38.9","","35.8","","34.2","","33.2","","23.0","","23.5","","24.1","","23.6","","23.5",""
"118","Viet Nam","..","","..","","..","","..","","..","","62.2","","60.6","","57.1","","56.3","","56.1","","..",""
"177","Yemen","..","","..","","..","","..","","..","","..","","68.4","","..","","..","","..","","..",""
"143","Zambia","..","","..","","..","","..","","..","","..","","..","","..","","..","","65.4","","..",""
"150","Zimbabwe","..","","..","","..","","62.5","","..","","..","","..","","..","","..","","..","","..",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"36","Andorra","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"35","United Arab Emirates","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"81","Armenia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74","Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"6","Australia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"20","Austria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"87","Azerbaijan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"17","Belgium","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182","Burkina Faso","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"52","Bulgaria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"45","Bahrain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"60","Bahamas","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"50","Belarus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"103","Belize","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"114","Bolivia (Plurinational State of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"56","Barbados","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"134","Bhutan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94","Botswana","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"188","Central African Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"13","Canada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"2","Switzerland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"85","China","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"138","Congo","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"156","Comoros","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"68","Costa Rica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"72","Cuba","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"31","Cyprus","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"26","Czechia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"4","Germany","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"171","Djibouti","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"11","Denmark","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"89","Dominican Republic","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"82","Algeria","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"182","Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"25","Spain","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"30","Estonia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"173","Ethiopia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"12","Finland","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"98","Fiji","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"26","France","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"135","Micronesia (Federated States of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"115","Gabon","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"15","United Kingdom","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"70","Georgia","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
