"Age-standarized mortality rate attributed to noncommunicable diseases, male"
"HDI Rank (2018)","Country","2000","","2010","","2015","","2016",""
"170","Afghanistan","997.8","","946.0","","902.3","","904.5",""
"69","Albania","804.9","","710.8","","664.8","","651.7",""
"82","Algeria","671.9","","498.1","","467.7","","462.8",""
"149","Angola","776.1","","618.0","","584.0","","572.2",""
"74","Antigua and Barbuda","789.5","","605.5","","659.6","","667.5",""
"48","Argentina","715.2","","628.1","","564.3","","552.4",""
"81","Armenia","834.2","","853.3","","786.0","","778.3",""
"6","Australia","491.0","","380.1","","353.8","","342.5",""
"20","Austria","577.4","","467.0","","431.9","","411.4",""
"87","Azerbaijan","1008.5","","877.6","","814.7","","804.4",""
"60","Bahamas","642.8","","554.5","","516.2","","511.2",""
"45","Bahrain","724.8","","579.7","","464.6","","449.5",""
"135","Bangladesh","558.7","","554.2","","551.4","","549.6",""
"56","Barbados","757.4","","680.1","","643.8","","638.5",""
"50","Belarus","1261.6","","1180.6","","935.1","","906.7",""
"17","Belgium","575.4","","453.8","","418.9","","409.5",""
"103","Belize","900.4","","832.5","","811.5","","808.4",""
"163","Benin","704.2","","682.6","","673.6","","671.2",""
"134","Bhutan","780.0","","620.8","","584.7","","572.7",""
"114","Bolivia (Plurinational State of)","764.7","","586.4","","541.5","","539.7",""
"75","Bosnia and Herzegovina","821.7","","705.8","","639.6","","628.5",""
"94","Botswana","804.7","","767.8","","729.5","","720.8",""
"79","Brazil","853.6","","655.5","","569.1","","555.8",""
"43","Brunei Darussalam","730.2","","559.1","","577.2","","562.8",""
"52","Bulgaria","972.8","","869.5","","813.2","","806.0",""
"182","Burkina Faso","833.2","","769.0","","758.4","","754.5",""
"185","Burundi","684.8","","694.5","","704.9","","708.7",""
"126","Cabo Verde","693.8","","655.4","","629.1","","627.3",""
"146","Cambodia","863.0","","783.9","","744.5","","743.2",""
"150","Cameroon","811.3","","748.9","","748.5","","739.7",""
"13","Canada","509.4","","389.7","","348.8","","340.6",""
"188","Central African Republic","728.3","","740.5","","697.8","","680.3",""
"187","Chad","811.3","","804.4","","800.7","","796.7",""
"42","Chile","555.1","","523.8","","479.0","","471.9",""
"85","China","748.3","","648.1","","620.6","","613.1",""
"79","Colombia","646.9","","589.4","","551.9","","547.3",""
"156","Comoros","793.2","","759.1","","744.8","","742.7",""
"138","Congo","746.4","","586.9","","538.9","","531.9",""
"179","Congo (Democratic Republic of the)","674.2","","602.4","","591.7","","594.6",""
"68","Costa Rica","516.9","","480.8","","433.0","","429.4",""
"46","Croatia","821.7","","702.9","","665.2","","618.8",""
"72","Cuba","540.3","","517.2","","480.8","","470.5",""
"31","Cyprus","615.8","","517.1","","493.1","","487.3",""
"26","Czechia","801.3","","617.9","","569.1","","541.2",""
"165","Côte d'Ivoire","858.1","","948.4","","963.3","","955.0",""
"11","Denmark","622.9","","500.7","","439.0","","421.6",""
"171","Djibouti","685.4","","624.2","","652.2","","658.7",""
"89","Dominican Republic","616.5","","566.0","","562.5","","560.8",""
"85","Ecuador","540.3","","460.4","","464.7","","455.7",""
"116","Egypt","934.7","","985.9","","1004.8","","965.7",""
"124","El Salvador","724.9","","607.2","","599.4","","594.2",""
"144","Equatorial Guinea","882.7","","807.7","","763.4","","758.5",""
"182","Eritrea","809.5","","738.2","","726.7","","718.8",""
"30","Estonia","985.5","","786.2","","672.5","","659.7",""
"138","Eswatini (Kingdom of)","885.4","","876.7","","889.5","","892.8",""
"173","Ethiopia","667.0","","609.2","","592.3","","589.8",""
"98","Fiji","1101.2","","1025.2","","990.3","","984.9",""
"12","Finland","587.3","","504.5","","447.2","","440.5",""
"26","France","530.9","","425.1","","377.1","","369.1",""
"115","Gabon","564.4","","534.9","","539.3","","525.7",""
"174","Gambia","842.5","","783.7","","772.7","","767.0",""
"70","Georgia","901.0","","942.3","","959.9","","981.9",""
"4","Germany","610.6","","487.6","","460.4","","445.5",""
"142","Ghana","653.3","","654.1","","668.1","","669.3",""
"32","Greece","576.2","","458.8","","437.2","","424.9",""
"78","Grenada","873.5","","764.3","","707.6","","707.1",""
