"Working poor at PPP $3.20 a day (% of total employment)"
"HDI Rank (2018)","Country","1991","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","87.4","","91.9","","93.6","","91.1","","83.5","","80.8","","76.4","","75.2","","74.0","","73.1","","72.3","","71.4","","70.3"," a"
"69","Albania","14.6","","8.9","","8.9","","4.5","","1.7","","1.9","","2.4","","1.7","","1.4","","1.3","","1.1","","1.0","","0.9"," a"
"82","Algeria","21.6","","15.5","","6.6","","2.5","","1.2","","1.2","","1.1","","1.1","","1.1","","1.1","","1.1","","1.1","","1.2"," a"
"149","Angola","52.7","","54.2","","50.1","","46.6","","54.0","","56.7","","56.1","","55.4","","54.9","","54.5","","54.5","","54.4","","54.0"," a"
"48","Argentina","1.4","","3.9","","7.8","","5.5","","1.1","","0.7","","0.8","","0.8","","0.9","","0.8","","0.8","","0.7","","0.6"," a"
"81","Armenia","53.8","","55.3","","47.3","","20.6","","14.5","","13.1","","11.5","","13.0","","10.9","","8.0","","8.5","","8.1","","7.9"," a"
"87","Azerbaijan","0.4","","1.1","","0.4","","0.3","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," a"
"60","Bahamas","0.5","","0.4","","0.3","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2","","0.2"," a"
"135","Bangladesh","80.3","","73.9","","68.2","","61.7","","55.6","","54.4","","53.1","","51.8","","50.7","","49.4","","48.1","","46.4","","44.8"," a"
"56","Barbados","1.3","","1.1","","0.8","","0.7","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.6","","0.5"," a"
"50","Belarus","28.3","","46.5","","21.3","","0.8","","0.2","","0.1","","0.1","","0.2","","0.3","","0.3","","0.3","","0.3","","0.3"," a"
"103","Belize","20.1","","22.8","","21.3","","14.1","","11.1","","10.7","","10.2","","10.1","","9.3","","8.7","","8.7","","9.3","","9.2"," a"
"163","Benin","78.2","","77.0","","75.5","","74.9","","74.4","","71.4","","72.1","","72.0","","71.6","","71.3","","70.9","","70.2","","69.4"," a"
