"Youth not in school or employment (% ages 15-24)"
"HDI Rank (2018)","Country","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","..","","..","","..","","..","","..","","..","","..","","..","","42.0","","..",""
"69","Albania","..","","29.5","","30.0","","27.6","","31.0","","34.5","","32.8","","..","","..","","..",""
"82","Algeria","..","","24.5","","26.0","","22.7","","21.5","","22.8","","21.2","","..","","20.9","","..",""
"149","Angola","..","","..","","10.0","","..","","..","","2.6","","..","","..","","..","","..",""
"48","Argentina","19.9","","19.5","","18.4","","18.4","","19.1","","19.7","","..","","..","","19.3","","..",""
"81","Armenia","..","","..","","44.6","","36.8","","44.4","","38.0","","35.6","","36.6","","36.6","","..",""
"6","Australia","..","","11.3","","10.6","","9.9","","11.0","","10.1","","9.8","","8.7","","8.9","","..",""
"20","Austria","8.6","","7.4","","7.3","","6.8","","7.3","","7.7","","7.5","","7.7","","6.5","","6.8",""
"135","Bangladesh","31.0","","30.1","","..","","..","","20.2","","..","","..","","28.9","","27.4","","..",""
"17","Belgium","13.0","","10.9","","11.8","","12.3","","12.7","","12.1","","12.2","","9.9","","9.3","","9.2",""
"103","Belize","..","","..","","..","","11.9","","27.9","","27.8","","27.4","","27.4","","27.3","","..",""
"163","Benin","..","","3.5","","17.2","","..","","..","","..","","..","","..","","..","","..",""
"114","Bolivia (Plurinational State of)","12.1","","..","","10.8","","10.4","","10.4","","11.2","","14.6","","10.9","","11.6","","..",""
"75","Bosnia and Herzegovina","..","","28.3","","27.8","","28.5","","..","","26.3","","27.7","","26.4","","24.3","","..",""
"79","Brazil","19.1","","..","","19.4","","20.0","","20.4","","20.1","","21.5","","23.2","","24.3","","24.2",""
"43","Brunei Darussalam","..","","..","","..","","..","","..","","17.2","","..","","..","","20.0","","..",""
"52","Bulgaria","25.1","","21.0","","21.8","","21.5","","21.6","","20.2","","19.3","","18.2","","15.3","","15.0",""
"185","Burundi","..","","..","","..","","..","","..","","3.8","","..","","..","","6.2","","..",""
"126","Cabo Verde","..","","..","","..","","..","","..","","..","","..","","..","","31.4","","..",""
"146","Cambodia","..","","0.2","","0.2","","12.7","","0.2","","0.1","","..","","..","","..","","..",""
"150","Cameroon","..","","10.8","","..","","..","","..","","17.0","","..","","..","","..","","..",""
