"Adolescent birth rate (births per 1,000 women ages 15-19)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","161.2","","163.9","","165.2","","146.4","","133.1","","126.6"," a","120.2"," a","113.7"," a","107.3"," a","100.8","","90.2"," a","79.6"," a","69.0"," b"
"69","Albania","16.3","","18.7","","19.3","","18.8","","18.5","","18.9"," a","19.4"," a","19.8"," a","20.3"," a","20.7","","20.4"," a","20.0"," a","19.6"," b"
"82","Algeria","33.1","","24.3","","14.9","","9.7","","9.7","","10.1"," a","10.4"," a","10.8"," a","11.2"," a","11.6","","11.1"," a","10.6"," a","10.1"," b"
"149","Angola","222.0","","213.0","","202.5","","192.8","","181.2","","178.5"," a","175.7"," a","172.9"," a","170.2"," a","167.4","","161.8"," a","156.2"," a","150.5"," b"
"74","Antigua and Barbuda","83.3","","71.8","","65.4","","59.7","","51.2","","50.3"," a","49.5"," a","48.7"," a","47.8"," a","47.0","","45.6"," a","44.2"," a","42.8"," b"
"48","Argentina","73.4","","73.6","","69.8","","64.1","","62.9","","63.1"," a","63.2"," a","63.3"," a","63.4"," a","63.6","","63.3"," a","63.0"," a","62.8"," b"
"81","Armenia","65.6","","80.1","","49.9","","32.4","","27.8","","27.2"," a","26.6"," a","26.0"," a","25.4"," a","24.8","","23.7"," a","22.6"," a","21.5"," b"
"6","Australia","21.1","","20.9","","19.5","","16.9","","17.1","","16.1"," a","15.2"," a","14.2"," a","13.3"," a","12.3","","12.1"," a","11.9"," a","11.7"," b"
"20","Austria","21.4","","20.4","","14.8","","13.3","","11.1","","10.6"," a","10.1"," a","9.5"," a","9.0"," a","8.5","","8.1"," a","7.7"," a","7.3"," b"
"87","Azerbaijan","25.7","","37.5","","42.3","","32.6","","38.5","","40.6"," a","42.8"," a","44.9"," a","47.1"," a","49.2","","51.4"," a","53.6"," a","55.8"," b"
"60","Bahamas","69.8","","69.6","","61.9","","44.1","","39.5","","38.1"," a","36.8"," a","35.5"," a","34.1"," a","32.8","","31.9"," a","30.9"," a","30.0"," b"
"45","Bahrain","32.5","","22.3","","18.8","","16.8","","14.8","","14.6"," a","14.5"," a","14.3"," a","14.2"," a","14.0","","13.8"," a","13.6"," a","13.4"," b"
"135","Bangladesh","169.7","","143.5","","121.6","","106.0","","94.1","","93.0"," a","91.9"," a","90.8"," a","89.7"," a","88.6","","86.7"," a","84.8"," a","83.0"," b"
"56","Barbados","49.9","","57.9","","52.0","","50.5","","47.3","","46.4"," a","45.5"," a","44.6"," a","43.6"," a","42.7","","39.7"," a","36.6"," a","33.5"," b"
"50","Belarus","37.8","","44.2","","33.0","","24.3","","22.3","","22.1"," a","21.9"," a","21.8"," a","21.6"," a","21.4","","19.1"," a","16.8"," a","14.5"," b"
"17","Belgium","11.4","","10.8","","10.2","","10.9","","10.0","","9.2"," a","8.4"," a","7.6"," a","6.8"," a","6.0","","5.6"," a","5.1"," a","4.7"," b"
"103","Belize","131.6","","121.7","","106.3","","91.2","","78.7","","77.5"," a","76.3"," a","75.1"," a","73.9"," a","72.7","","71.3"," a","69.9"," a","68.5"," b"
"163","Benin","123.1","","126.8","","122.8","","115.7","","108.7","","106.2"," a","103.8"," a","101.3"," a","98.8"," a","96.4","","92.9"," a","89.5"," a","86.1"," b"
"134","Bhutan","107.5","","101.0","","89.2","","69.2","","47.9","","43.9"," a","39.9"," a","36.0"," a","32.0"," a","28.0","","25.4"," a","22.8"," a","20.2"," b"
"114","Bolivia (Plurinational State of)","96.4","","92.1","","87.8","","85.7","","81.9","","80.1"," a","78.3"," a","76.5"," a","74.7"," a","72.9","","70.2"," a","67.6"," a","64.9"," b"
"75","Bosnia and Herzegovina","36.9","","25.6","","25.2","","18.9","","16.2","","15.4"," a","14.5"," a","13.7"," a","12.9"," a","12.1","","11.3"," a","10.4"," a","9.6"," b"
