"Remittances, inflows (% of GDP)"
"HDI Rank (2018)","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018",""
"170","Afghanistan","..","","..","","..","","..","","2.18","","1.01","","1.10","","1.63","","1.24","","1.75","","3.37","","3.64","","1.99",""
"69","Albania","..","","17.86","","17.18","","16.02","","13.30","","12.03","","11.53","","10.03","","10.74","","11.33","","11.01","","10.06","","9.68",""
"82","Algeria","0.57","","2.68","","1.44","","0.17","","0.12","","0.10","","0.10","","0.10","","1.15","","1.20","","1.24","","1.07","","1.07",""
"149","Angola","..","","..","","..","","..","","0.02","","0.00","","0.03","","0.03","","0.02","","0.01","","0.00","","0.00","","0.00",""
"74","Antigua and Barbuda","2.73","","0.58","","2.09","","1.79","","1.75","","1.78","","1.72","","1.77","","1.91","","2.30","","1.82","","2.18","","2.16",""
"48","Argentina","0.02","","0.03","","0.03","","0.22","","0.15","","0.13","","0.11","","0.10","","0.10","","0.08","","0.07","","0.07","","0.10",""
"81","Armenia","..","","4.86","","9.53","","18.68","","18.03","","17.73","","18.03","","19.71","","17.90","","14.13","","13.11","","13.35","","11.97",""
"6","Australia","0.76","","0.12","","0.13","","0.14","","0.16","","0.17","","0.16","","0.15","","0.16","","0.16","","0.17","","0.15","","0.13",""
"20","Austria","0.38","","0.42","","0.92","","0.73","","0.76","","0.75","","0.74","","0.76","","0.73","","0.75","","0.74","","0.72","","0.70",""
"87","Azerbaijan","..","","0.10","","1.08","","4.71","","2.67","","2.87","","2.86","","2.34","","2.45","","2.39","","1.70","","2.77","","2.61",""
"135","Bangladesh","2.46","","3.17","","3.69","","6.68","","9.41","","9.38","","10.59","","9.24","","8.67","","7.84","","6.13","","5.41","","5.66",""
"56","Barbados","1.87","","2.69","","3.63","","2.42","","1.81","","3.16","","2.60","","2.35","","2.35","","2.36","","2.39","","2.32","","..",""
"50","Belarus","..","","0.20","","0.90","","0.66","","0.98","","1.44","","1.60","","1.61","","1.56","","1.65","","2.05","","2.29","","2.01",""
"17","Belgium","1.74","","1.71","","1.68","","1.78","","2.14","","2.10","","2.13","","2.15","","2.15","","2.19","","2.18","","2.15","","2.16",""
"103","Belize","4.48","","2.24","","2.99","","4.01","","5.59","","5.07","","4.86","","4.63","","4.75","","4.81","","5.35","","4.84","","4.81",""
"163","Benin","5.16","","4.56","","3.33","","3.06","","2.00","","2.20","","2.55","","2.72","","3.13","","2.58","","2.58","","2.11","","3.55",""
"134","Bhutan","..","","..","","..","","..","","0.52","","0.57","","0.99","","0.66","","0.72","","0.95","","1.55","","1.71","","2.29",""
"114","Bolivia (Plurinational State of)","0.10","","0.08","","1.51","","3.53","","4.89","","4.35","","4.10","","3.92","","3.57","","3.61","","3.67","","3.75","","3.45",""
"75","Bosnia and Herzegovina","..","","..","","28.71","","18.16","","10.61","","10.50","","10.71","","10.77","","11.35","","11.11","","10.91","","11.15","","10.71",""
"94","Botswana","2.26","","1.17","","0.32","","1.19","","0.17","","0.13","","0.13","","0.24","","0.28","","0.21","","0.16","","0.21","","0.18",""
